Pressure,uptake,error
1.00E-04,4.705632e-04,1.889073e-04
5.00E-04,1.957835e-03,1.074094e-03
1.00E-03,4.215563e-03,1.292348e-03
5.00E-03,2.212866e-02,6.085189e-03
1.00E-02,4.170701e-02,5.830234e-03
5.00E-02,1.473545e-01,2.545360e-02
1.00E-01,2.752673e-01,2.341273e-02
2.00E-01,4.709728e-01,3.770879e-02
3.00E-01,5.998900e-01,6.257415e-02
4.00E-01,6.905917e-01,4.745849e-02
5.00E-01,7.705753e-01,6.957715e-02
6.00E-01,8.511415e-01,4.212884e-02
7.00E-01,9.534854e-01,3.248037e-02
8.00E-01,1.011274e+00,5.181506e-02
9.00E-01,1.089476e+00,3.351681e-02
1.00E+00,1.163466e+00,6.038123e-02
2.00E+00,1.667647e+00,4.814949e-02
3.00E+00,2.096452e+00,4.396718e-02
4.00E+00,2.421725e+00,1.088956e-01
5.00E+00,2.750876e+00,9.109376e-02
6.00E+00,3.012760e+00,3.537194e-02
7.00E+00,3.195955e+00,8.814270e-02
8.00E+00,3.430696e+00,6.535825e-02
9.00E+00,3.721928e+00,9.175157e-02
1.00E+01,3.880908e+00,6.503273e-02
2.00E+01,5.306212e+00,1.048501e-01
3.00E+01,6.334000e+00,1.107571e-01
4.00E+01,7.155572e+00,6.857502e-02
5.00E+01,7.867463e+00,1.330531e-01
6.00E+01,8.473963e+00,8.326626e-02
7.00E+01,8.974554e+00,6.898550e-02
8.00E+01,9.562836e+00,1.020958e-01
9.00E+01,9.981028e+00,4.871388e-02
1.00E+02,1.049453e+01,1.075305e-01
2.00E+02,1.433714e+01,6.668369e-02
3.00E+02,1.768971e+01,1.406432e-01
4.00E+02,2.031332e+01,1.253065e-01
5.00E+02,2.280186e+01,2.132303e-01
6.00E+02,2.468550e+01,3.180335e-01
7.00E+02,2.626403e+01,2.159471e-01
8.00E+02,2.767878e+01,1.576550e-01
9.00E+02,2.896534e+01,2.394348e-01
1.00E+03,3.029013e+01,8.988983e-02
5.00E+03,8.476122e+01,3.755152e-01
1.00E+04,8.893170e+01,3.200129e-01
2.00E+04,9.150995e+01,3.610600e-01
3.00E+04,9.256112e+01,1.300723e-01
4.00E+04,9.364875e+01,3.531525e-01
5.00E+04,9.383845e+01,9.958587e-02
6.00E+04,9.427853e+01,3.615856e-01
7.00E+04,9.491959e+01,4.413589e-01
8.00E+04,9.504170e+01,2.303052e-01
9.00E+04,9.545274e+01,2.306734e-01
1.00E+05,9.576480e+01,2.391696e-01
