Pressure,uptake,error
1.00E-04,3.242741e-04,1.515708e-04
5.00E-04,1.974902e-03,3.429536e-04
1.00E-03,3.618216e-03,7.100597e-04
5.00E-03,1.846168e-02,3.848523e-03
1.00E-02,4.140225e-02,2.181150e-03
5.00E-02,1.574217e-01,9.383151e-03
1.00E-01,2.839617e-01,3.054791e-02
2.00E-01,4.814032e-01,3.744426e-02
3.00E-01,6.502598e-01,4.185127e-02
4.00E-01,7.779702e-01,2.937711e-02
5.00E-01,9.084868e-01,7.316224e-02
6.00E-01,9.757725e-01,6.270945e-02
7.00E-01,1.059842e+00,5.409781e-02
8.00E-01,1.092421e+00,6.706386e-02
9.00E-01,1.157088e+00,4.080623e-02
1.00E+00,1.257442e+00,4.616638e-02
2.00E+00,1.730324e+00,4.271708e-02
3.00E+00,2.078387e+00,7.931757e-02
4.00E+00,2.363193e+00,1.512618e-02
5.00E+00,2.598296e+00,2.654279e-02
6.00E+00,2.809964e+00,6.335187e-02
7.00E+00,2.998828e+00,5.595398e-02
8.00E+00,3.177701e+00,7.850067e-02
9.00E+00,3.364149e+00,3.946337e-02
1.00E+01,3.537399e+00,7.295605e-02
2.00E+01,4.766956e+00,6.081082e-02
3.00E+01,5.759867e+00,7.670804e-02
4.00E+01,6.718896e+00,7.143218e-02
5.00E+01,7.453662e+00,1.603382e-01
6.00E+01,8.162928e+00,4.902859e-02
7.00E+01,8.892862e+00,1.007056e-01
8.00E+01,9.441570e+00,9.272891e-02
9.00E+01,1.005525e+01,1.207105e-01
1.00E+02,1.062144e+01,1.257793e-01
2.00E+02,1.508859e+01,1.108346e-01
3.00E+02,1.887479e+01,9.677854e-02
4.00E+02,2.166218e+01,1.279022e-01
5.00E+02,2.391484e+01,2.380297e-01
6.00E+02,2.557686e+01,1.225059e-01
7.00E+02,2.712744e+01,1.428024e-01
8.00E+02,2.863219e+01,7.350915e-02
9.00E+02,2.989387e+01,1.578047e-01
1.00E+03,3.125214e+01,1.512328e-01
2.00E+03,4.541827e+01,3.401006e-01
3.00E+03,5.581936e+01,5.123484e-01
4.00E+03,7.479013e+01,4.813552e-01
5.00E+03,7.781139e+01,2.599811e-01
6.00E+03,7.875306e+01,3.201702e-01
7.00E+03,7.925470e+01,3.441488e-01
8.00E+03,7.985133e+01,5.095015e-01
9.00E+03,8.040510e+01,2.219976e-01
1.00E+04,8.070135e+01,1.282065e-01
2.00E+04,8.266598e+01,2.085253e-01
3.00E+04,8.361406e+01,2.271215e-01
4.00E+04,8.490933e+01,2.545938e-01
5.00E+04,8.499294e+01,3.389801e-01
6.00E+04,8.568333e+01,2.986543e-01
7.00E+04,8.578420e+01,1.294334e-01
8.00E+04,8.622559e+01,3.728063e-01
9.00E+04,8.637393e+01,3.419991e-01
1.00E+05,8.673556e+01,4.708102e-01
