Pressure,uptake,error
1.00E-04,2.809896e-01,1.911569e-02
5.00E-04,5.019178e-01,1.015731e-02
1.00E-03,5.894182e-01,4.776674e-02
5.00E-03,9.576107e-01,1.207891e-02
1.00E-02,1.229433e+00,6.131553e-02
5.00E-02,2.030797e+00,2.286302e-02
1.00E-01,2.540227e+00,4.767409e-02
2.00E-01,3.262022e+00,9.447796e-02
3.00E-01,3.755999e+00,4.362202e-02
4.00E-01,4.134951e+00,8.662204e-02
5.00E-01,4.446922e+00,1.111361e-01
6.00E-01,4.780303e+00,6.347091e-02
7.00E-01,5.011225e+00,3.621293e-02
8.00E-01,5.274214e+00,4.760218e-02
9.00E-01,5.329667e+00,4.882806e-02
1.00E+00,5.646010e+00,9.288672e-02
2.00E+00,6.823078e+00,1.050534e-01
3.00E+00,7.760721e+00,1.521430e-02
4.00E+00,8.407750e+00,3.959527e-02
5.00E+00,8.856106e+00,4.733452e-02
6.00E+00,9.363186e+00,4.909025e-02
7.00E+00,9.741658e+00,1.269405e-01
8.00E+00,1.015168e+01,4.173823e-02
9.00E+00,1.056699e+01,1.130081e-01
1.00E+01,1.076184e+01,5.947351e-02
2.00E+01,1.308192e+01,1.036382e-01
3.00E+01,1.454485e+01,6.749371e-02
4.00E+01,1.601382e+01,1.340468e-01
5.00E+01,1.713038e+01,4.440729e-02
6.00E+01,1.791660e+01,1.110127e-01
7.00E+01,1.875801e+01,1.162858e-01
8.00E+01,1.940725e+01,2.906795e-01
9.00E+01,1.986348e+01,3.192235e-01
1.00E+02,2.073265e+01,2.290437e-01
2.00E+02,2.473322e+01,2.788199e-01
3.00E+02,2.739998e+01,2.552276e-01
4.00E+02,2.810113e+01,3.442005e-01
5.00E+02,2.847934e+01,6.540212e-02
6.00E+02,2.901577e+01,2.528487e-01
7.00E+02,2.903085e+01,1.367568e-01
8.00E+02,2.922467e+01,1.039679e-01
9.00E+02,2.959441e+01,1.533228e-01
1.00E+03,2.942285e+01,1.617472e-01
5.00E+03,3.080583e+01,2.154509e-01
1.00E+04,3.124452e+01,2.807744e-01
2.00E+04,3.189265e+01,1.352142e-01
3.00E+04,3.219385e+01,1.570030e-01
4.00E+04,3.205029e+01,1.588909e-01
5.00E+04,3.224955e+01,9.642725e-02
6.00E+04,3.252587e+01,1.797387e-01
7.00E+04,3.228754e+01,2.446041e-01
8.00E+04,3.250741e+01,2.664979e-01
9.00E+04,3.247464e+01,2.530354e-01
1.00E+05,3.260646e+01,2.855184e-01
