Pressure,uptake,error
1.00E-04,1.024024e-04,5.087499e-05
5.00E-04,5.485840e-04,1.431781e-04
1.00E-03,1.187380e-03,1.457938e-04
5.00E-03,5.558985e-03,1.310677e-03
1.00E-02,1.061815e-02,1.068343e-03
5.00E-02,5.304442e-02,5.349880e-03
1.00E-01,9.732856e-02,6.362564e-03
2.00E-01,2.018497e-01,1.691886e-02
3.00E-01,2.925928e-01,1.106587e-02
4.00E-01,3.152822e-01,2.924530e-02
5.00E-01,4.093753e-01,3.238096e-02
6.00E-01,4.626904e-01,2.568750e-02
7.00E-01,5.276110e-01,3.043881e-02
8.00E-01,5.670433e-01,2.344320e-02
9.00E-01,6.455810e-01,4.026905e-02
1.00E+00,6.841672e-01,2.946372e-02
2.00E+00,1.078380e+00,3.606299e-02
3.00E+00,1.515774e+00,6.631236e-02
4.00E+00,1.843806e+00,5.355213e-02
5.00E+00,2.071156e+00,9.547394e-02
6.00E+00,2.358202e+00,4.343303e-02
7.00E+00,2.652226e+00,1.294228e-01
8.00E+00,2.911626e+00,4.913428e-02
9.00E+00,3.121926e+00,4.970220e-02
1.00E+01,3.336968e+00,7.064670e-02
2.00E+01,5.100895e+00,5.533206e-02
3.00E+01,6.507550e+00,1.316208e-01
4.00E+01,7.592269e+00,1.176614e-01
5.00E+01,8.557252e+00,6.121526e-02
6.00E+01,9.470740e+00,7.640039e-02
7.00E+01,1.025472e+01,1.115444e-01
8.00E+01,1.091209e+01,8.921311e-02
9.00E+01,1.142051e+01,9.358412e-02
1.00E+02,1.208531e+01,9.866757e-02
2.00E+02,1.633336e+01,1.367401e-01
3.00E+02,1.957488e+01,2.001567e-01
4.00E+02,2.236094e+01,1.363544e-01
5.00E+02,2.461552e+01,1.422812e-01
6.00E+02,2.673997e+01,1.082113e-01
7.00E+02,2.856643e+01,1.372105e-01
8.00E+02,3.036691e+01,2.862850e-01
9.00E+02,3.204540e+01,2.608772e-01
1.00E+03,3.371812e+01,1.730141e-01
5.00E+03,8.231953e+01,2.950646e-01
1.00E+04,8.528057e+01,2.392665e-01
2.00E+04,8.784834e+01,3.812428e-01
3.00E+04,8.884383e+01,3.683919e-01
4.00E+04,8.925484e+01,4.643553e-01
5.00E+04,8.987805e+01,1.651782e-01
6.00E+04,9.035886e+01,4.648097e-01
7.00E+04,9.054777e+01,3.900181e-01
8.00E+04,9.073978e+01,3.242950e-01
9.00E+04,9.106143e+01,6.664130e-01
1.00E+05,9.122537e+01,4.133614e-01
