Pressure,uptake,error
1.00E-04,3.169597e-05,8.289450e-06
5.00E-04,1.828613e-04,7.098661e-05
1.00E-03,3.364649e-04,7.305384e-05
5.00E-03,1.904196e-03,2.073468e-04
1.00E-02,3.827897e-03,4.652442e-04
5.00E-02,1.829832e-02,1.054803e-03
1.00E-01,3.708916e-02,3.412657e-03
2.00E-01,7.273980e-02,8.151459e-03
3.00E-01,1.070860e-01,9.211014e-03
4.00E-01,1.492124e-01,1.179452e-02
5.00E-01,1.796479e-01,1.236393e-02
6.00E-01,2.264896e-01,2.316554e-02
7.00E-01,2.508955e-01,7.713788e-03
8.00E-01,2.846737e-01,1.120102e-02
9.00E-01,3.287627e-01,3.149595e-02
1.00E+00,3.484971e-01,1.879923e-02
2.00E+00,7.035846e-01,6.230745e-02
3.00E+00,9.913377e-01,4.345253e-02
4.00E+00,1.272822e+00,3.167479e-02
5.00E+00,1.515121e+00,3.986365e-02
6.00E+00,1.761074e+00,9.252923e-02
7.00E+00,2.025726e+00,1.022963e-01
8.00E+00,2.290543e+00,6.544479e-02
9.00E+00,2.533910e+00,6.081056e-02
1.00E+01,2.801136e+00,8.613420e-02
2.00E+01,4.954638e+00,6.047736e-02
3.00E+01,6.953758e+00,1.186416e-01
4.00E+01,8.498666e+00,4.906325e-02
5.00E+01,9.807429e+00,1.189247e-01
6.00E+01,1.105641e+01,1.587886e-01
7.00E+01,1.208900e+01,2.235122e-01
8.00E+01,1.305697e+01,1.147376e-01
9.00E+01,1.391422e+01,1.631364e-01
1.00E+02,1.470029e+01,7.525782e-02
2.00E+02,2.010607e+01,1.200906e-01
3.00E+02,2.393729e+01,1.527877e-01
4.00E+02,2.677653e+01,1.502317e-01
5.00E+02,2.898599e+01,1.530839e-01
6.00E+02,3.091257e+01,1.780740e-01
7.00E+02,3.269660e+01,2.437364e-01
8.00E+02,3.412675e+01,1.087891e-01
9.00E+02,3.573960e+01,2.619780e-01
1.00E+03,3.743488e+01,3.972131e-01
1.50E+03,4.439469e+01,2.579014e-01
2.00E+03,5.099874e+01,2.857781e-01
2.50E+03,6.026843e+01,1.016419e+00
3.00E+03,6.740780e+01,2.558820e-01
3.50E+03,6.864831e+01,2.234599e-01
4.00E+03,6.964259e+01,2.883083e-01
4.50E+03,7.026620e+01,2.518894e-01
5.00E+03,7.055906e+01,9.864219e-02
5.50E+03,7.064551e+01,1.917774e-01
6.00E+03,7.100552e+01,1.695996e-01
6.50E+03,7.132914e+01,1.730033e-01
7.00E+03,7.189313e+01,2.998572e-01
7.50E+03,7.179314e+01,3.039345e-01
8.00E+03,7.176446e+01,2.892347e-01
8.50E+03,7.233211e+01,1.325348e-01
9.00E+03,7.223578e+01,1.327651e-01
9.50E+03,7.273315e+01,1.548919e-01
1.00E+04,7.269586e+01,3.091411e-01
1.50E+04,7.377890e+01,2.487727e-01
2.00E+04,7.458688e+01,4.968060e-01
2.50E+04,7.502831e+01,3.558669e-01
3.00E+04,7.526312e+01,4.592079e-01
3.50E+04,7.569115e+01,1.958630e-01
4.00E+04,7.580427e+01,3.002660e-01
4.50E+04,7.595441e+01,4.625891e-01
5.00E+04,7.644450e+01,3.811234e-01
5.50E+04,7.650358e+01,3.517494e-01
6.00E+04,7.622417e+01,2.935252e-01
6.50E+04,7.674337e+01,1.668578e-01
7.00E+04,7.683908e+01,2.309256e-01
7.50E+04,7.705335e+01,5.768597e-01
8.00E+04,7.726567e+01,3.426269e-01
8.50E+04,7.702306e+01,2.509001e-01
9.00E+04,7.759467e+01,6.112004e-01
9.50E+04,7.764736e+01,3.921023e-01
1.00E+05,7.702981e+01,3.727525e-01
