Pressure,uptake,error
1.00E-04,2.740482e-03,8.925060e-04
5.00E-04,1.183235e-02,2.628479e-03
1.00E-03,2.127287e-02,2.760690e-03
5.00E-03,8.009814e-02,8.300210e-03
1.00E-02,1.240068e-01,1.709729e-02
5.00E-02,3.560554e-01,3.236239e-02
1.00E-01,5.299687e-01,4.897603e-02
2.00E-01,7.944984e-01,3.294788e-02
3.00E-01,9.575181e-01,4.662611e-02
4.00E-01,1.126306e+00,4.206882e-02
5.00E-01,1.254758e+00,7.467470e-02
6.00E-01,1.403783e+00,3.604444e-02
7.00E-01,1.516798e+00,4.278026e-02
8.00E-01,1.612089e+00,8.105486e-02
9.00E-01,1.740033e+00,6.280234e-02
1.00E+00,1.844600e+00,1.002807e-01
2.00E+00,2.599679e+00,5.479704e-02
3.00E+00,3.173893e+00,3.117890e-02
4.00E+00,3.622864e+00,8.522168e-02
5.00E+00,4.017776e+00,1.003201e-01
6.00E+00,4.396706e+00,8.801073e-02
7.00E+00,4.684603e+00,9.025029e-02
8.00E+00,5.099115e+00,9.146858e-02
9.00E+00,5.326644e+00,1.385326e-01
1.00E+01,5.581906e+00,6.921368e-02
2.00E+01,7.868021e+00,8.748362e-02
3.00E+01,9.432549e+00,1.340561e-01
4.00E+01,1.054148e+01,1.183362e-01
5.00E+01,1.147306e+01,1.260551e-01
6.00E+01,1.244087e+01,1.166487e-01
7.00E+01,1.309422e+01,1.587426e-01
8.00E+01,1.374443e+01,1.684832e-01
9.00E+01,1.440826e+01,1.508637e-01
1.00E+02,1.498780e+01,1.025561e-01
2.00E+02,2.013850e+01,3.997627e-01
3.00E+02,2.389289e+01,1.529364e-01
4.00E+02,2.686985e+01,2.224353e-01
5.00E+02,2.866737e+01,1.715554e-01
6.00E+02,3.024529e+01,1.724227e-01
7.00E+02,3.145215e+01,
8.00E+02,3.262822e+01,1.167394e-01
9.00E+02,3.355479e+01,2.579307e-01
1.00E+03,3.460488e+01,1.515937e-01
5.00E+03,5.038766e+01,1.763545e-01
1.00E+04,7.457575e+01,1.898284e-01
2.00E+04,7.683250e+01,2.570731e-01
3.00E+04,7.760952e+01,3.498305e-01
4.00E+04,7.842902e+01,3.465091e-01
5.00E+04,7.875910e+01,3.250843e-01
6.00E+04,7.915752e+01,1.956107e-01
7.00E+04,7.925335e+01,4.063587e-01
8.00E+04,7.970309e+01,2.980460e-01
9.00E+04,8.010285e+01,1.438109e-01
1.00E+05,7.983783e+01,3.105804e-01
