Pressure,uptake,error
1.00E-04,3.250056e-03,9.450579e-04
5.00E-04,1.472643e-02,1.571246e-03
1.00E-03,2.980640e-02,6.855506e-03
5.00E-03,1.170386e-01,1.376411e-02
1.00E-02,2.268139e-01,2.742007e-02
5.00E-02,6.064145e-01,2.876641e-02
1.00E-01,9.079114e-01,2.157725e-02
2.00E-01,1.186161e+00,2.364660e-02
3.00E-01,1.480462e+00,4.603813e-02
4.00E-01,1.656197e+00,4.422764e-02
5.00E-01,1.873934e+00,2.867310e-02
6.00E-01,2.036839e+00,6.169776e-02
7.00E-01,2.224640e+00,6.862826e-02
8.00E-01,2.405083e+00,3.362453e-02
9.00E-01,2.466209e+00,7.213044e-02
1.00E+00,2.662122e+00,4.142349e-02
2.00E+00,3.687245e+00,1.025943e-01
3.00E+00,4.394480e+00,7.381228e-02
4.00E+00,4.910456e+00,9.113737e-02
5.00E+00,5.437375e+00,5.074940e-02
6.00E+00,5.756736e+00,9.986936e-02
7.00E+00,6.071789e+00,6.341991e-02
8.00E+00,6.392372e+00,1.047691e-01
9.00E+00,6.562323e+00,5.826011e-02
1.00E+01,7.022163e+00,1.230941e-01
2.00E+01,9.122333e+00,2.327088e-01
3.00E+01,1.057993e+01,1.494629e-01
4.00E+01,1.211172e+01,1.623024e-01
5.00E+01,1.308409e+01,1.444285e-01
6.00E+01,1.407684e+01,1.396332e-01
7.00E+01,1.478299e+01,7.699514e-02
8.00E+01,1.550272e+01,2.094813e-01
9.00E+01,1.638364e+01,1.441970e-01
1.00E+02,1.684107e+01,2.222818e-01
2.00E+02,2.124844e+01,9.674244e-02
3.00E+02,2.360821e+01,2.444550e-01
4.00E+02,2.535090e+01,2.212729e-01
5.00E+02,2.676677e+01,9.198872e-02
6.00E+02,2.781687e+01,1.312834e-01
7.00E+02,2.894680e+01,1.460176e-01
8.00E+02,2.955520e+01,1.885604e-01
9.00E+02,3.063721e+01,1.370326e-01
1.00E+03,3.129026e+01,1.524925e-01
2.00E+03,3.654057e+01,1.282807e-01
3.00E+03,4.018923e+01,1.443239e-01
4.00E+03,4.268998e+01,2.065815e-01
5.00E+03,4.611993e+01,6.624729e-01
6.00E+03,6.039195e+01,1.363666e-01
7.00E+03,6.109127e+01,2.810964e-01
8.00E+03,6.125313e+01,2.732772e-01
9.00E+03,6.165584e+01,3.536872e-01
1.00E+04,6.202851e+01,2.400885e-01
2.00E+04,6.361821e+01,2.353998e-01
3.00E+04,6.393361e+01,3.493143e-01
4.00E+04,6.475395e+01,2.524598e-01
5.00E+04,6.559537e+01,3.356558e-01
6.00E+04,6.549253e+01,2.826951e-01
7.00E+04,6.563041e+01,1.957749e-01
8.00E+04,6.572177e+01,1.431864e-01
9.00E+04,6.603463e+01,2.038862e-01
1.00E+05,6.610936e+01,1.313302e-01
