Pressure,uptake,error
1.00E-04,2.633203e-04,5.414646e-05
5.00E-04,1.967588e-03,6.241540e-04
1.00E-03,3.925423e-03,7.664193e-04
5.00E-03,1.711826e-02,2.313915e-03
1.00E-02,3.483630e-02,7.710055e-03
5.00E-02,1.474448e-01,2.642111e-02
1.00E-01,2.235833e-01,1.925042e-02
2.00E-01,3.574744e-01,4.028893e-02
3.00E-01,4.167069e-01,5.246430e-02
4.00E-01,4.975462e-01,5.345367e-02
5.00E-01,5.487644e-01,3.586632e-02
6.00E-01,6.151114e-01,3.910076e-02
7.00E-01,6.492041e-01,3.609658e-02
8.00E-01,7.059618e-01,4.739872e-02
9.00E-01,7.554977e-01,2.248650e-02
1.00E+00,7.555002e-01,3.807257e-02
2.00E+00,1.089010e+00,5.125324e-02
3.00E+00,1.373925e+00,4.311784e-02
4.00E+00,1.566127e+00,4.300980e-02
5.00E+00,1.794104e+00,1.002407e-01
6.00E+00,2.039947e+00,6.961928e-02
7.00E+00,2.210745e+00,6.387906e-02
8.00E+00,2.378819e+00,3.043039e-02
9.00E+00,2.588656e+00,4.636639e-02
1.00E+01,2.767877e+00,8.127131e-02
2.00E+01,4.298509e+00,8.279537e-02
3.00E+01,5.546423e+00,1.265564e-01
4.00E+01,6.692250e+00,9.665660e-02
5.00E+01,7.682646e+00,1.046447e-01
6.00E+01,8.701167e+00,1.710435e-01
7.00E+01,9.589805e+00,6.977786e-02
8.00E+01,1.041215e+01,1.057447e-01
9.00E+01,1.119401e+01,1.389127e-01
1.00E+02,1.197951e+01,1.415531e-01
2.00E+02,1.732130e+01,2.210024e-01
3.00E+02,2.134949e+01,1.795325e-01
4.00E+02,2.424459e+01,2.750593e-01
5.00E+02,2.690033e+01,2.804069e-01
6.00E+02,2.917255e+01,1.570080e-01
7.00E+02,3.116334e+01,1.927146e-01
8.00E+02,3.325893e+01,2.357559e-01
9.00E+02,3.467189e+01,4.561298e-01
1.00E+03,3.631246e+01,1.243637e-01
5.00E+03,8.224879e+01,2.361961e-01
1.00E+04,8.467351e+01,1.121107e-01
2.00E+04,8.657651e+01,4.182963e-01
3.00E+04,8.812141e+01,2.240556e-01
4.00E+04,8.852359e+01,3.905018e-01
5.00E+04,8.912128e+01,2.048033e-01
6.00E+04,8.955941e+01,2.090010e-01
7.00E+04,8.970847e+01,1.183117e-01
8.00E+04,9.027194e+01,2.779014e-01
9.00E+04,9.028444e+01,5.086015e-01
1.00E+05,9.040771e+01,1.852889e-01
