Pressure,uptake,error
1.00E-04,1.365365e-04,3.281059e-05
5.00E-04,5.607748e-04,9.511821e-05
1.00E-03,1.082539e-03,2.348027e-04
5.00E-03,5.527289e-03,4.190889e-04
1.00E-02,1.037677e-02,2.146215e-03
5.00E-02,5.194969e-02,4.820390e-03
1.00E-01,1.000252e-01,5.788872e-03
2.00E-01,1.948375e-01,7.154397e-03
3.00E-01,2.738775e-01,1.712662e-02
4.00E-01,3.481582e-01,3.840221e-02
5.00E-01,4.149343e-01,2.794768e-02
6.00E-01,4.722870e-01,2.176981e-02
7.00E-01,5.412769e-01,3.083711e-02
8.00E-01,6.197073e-01,2.952827e-02
9.00E-01,6.747608e-01,4.578038e-02
1.00E+00,7.042527e-01,4.344555e-02
2.00E+00,1.161630e+00,3.439910e-02
3.00E+00,1.551603e+00,8.715580e-02
4.00E+00,1.879093e+00,4.673072e-02
5.00E+00,2.131468e+00,4.682252e-02
6.00E+00,2.435384e+00,8.994002e-02
7.00E+00,2.705497e+00,4.255447e-02
8.00E+00,2.933364e+00,6.314732e-02
9.00E+00,3.101421e+00,8.696783e-02
1.00E+01,3.345236e+00,1.059936e-01
2.00E+01,5.036587e+00,4.694084e-02
3.00E+01,6.351667e+00,1.021335e-01
4.00E+01,7.535194e+00,1.144679e-01
5.00E+01,8.749206e+00,9.832699e-02
6.00E+01,9.626694e+00,1.348431e-01
7.00E+01,1.031845e+01,5.765231e-02
8.00E+01,1.122642e+01,8.085378e-02
9.00E+01,1.184027e+01,1.065347e-01
1.00E+02,1.258532e+01,1.647173e-01
2.00E+02,1.785223e+01,2.220814e-01
3.00E+02,2.195961e+01,1.820606e-01
4.00E+02,2.515439e+01,2.959700e-01
5.00E+02,2.782578e+01,1.163206e-01
6.00E+02,2.989952e+01,1.842644e-01
7.00E+02,3.219221e+01,3.088374e-01
8.00E+02,3.393185e+01,8.078957e-02
9.00E+02,3.578727e+01,2.778905e-01
1.00E+03,3.721373e+01,1.097043e-01
1.50E+03,4.472343e+01,3.367971e-01
2.00E+03,5.719679e+01,1.619883e+00
2.50E+03,7.080698e+01,2.145350e-01
3.00E+03,7.234484e+01,1.959650e-01
3.50E+03,7.329291e+01,3.182930e-01
4.00E+03,7.390384e+01,1.728042e-01
4.50E+03,7.409324e+01,2.310970e-01
5.00E+03,7.469599e+01,2.690872e-01
5.50E+03,7.478657e+01,2.578738e-01
6.00E+03,7.531459e+01,2.629588e-01
6.50E+03,7.576330e+01,1.523444e-01
7.00E+03,7.619161e+01,2.476220e-01
7.50E+03,7.638780e+01,2.437168e-01
8.00E+03,7.622817e+01,2.857903e-01
8.50E+03,7.677973e+01,3.642412e-01
9.00E+03,7.709463e+01,2.605108e-01
9.50E+03,7.697773e+01,1.434695e-01
1.00E+04,7.705931e+01,3.135680e-01
1.50E+04,7.820039e+01,3.167508e-01
2.00E+04,7.929926e+01,2.724553e-01
2.50E+04,7.933938e+01,2.428888e-01
3.00E+04,7.967520e+01,1.475764e-01
3.50E+04,8.013464e+01,3.130242e-01
4.00E+04,8.020823e+01,2.562028e-01
4.50E+04,8.053881e+01,1.533023e-01
5.00E+04,8.052454e+01,5.540379e-01
5.50E+04,8.084573e+01,4.505677e-01
6.00E+04,8.108596e+01,5.557109e-01
6.50E+04,8.134509e+01,3.711123e-01
7.00E+04,8.168181e+01,4.433656e-01
7.50E+04,8.146268e+01,2.139495e-01
8.00E+04,8.151495e+01,1.969783e-01
8.50E+04,8.153018e+01,4.629676e-01
9.00E+04,8.200687e+01,6.874585e-01
9.50E+04,8.165284e+01,4.322214e-01
1.00E+05,8.183250e+01,3.116120e-01
