Pressure,uptake,error
1.00E-04,7.436361e-04,2.317590e-04
5.00E-04,5.095736e-03,1.871073e-03
1.00E-03,6.831700e-03,2.362411e-03
5.00E-03,3.837650e-02,7.751005e-03
1.00E-02,7.040893e-02,2.000037e-02
5.00E-02,2.060725e-01,2.280317e-02
1.00E-01,3.614852e-01,2.221951e-02
2.00E-01,6.136241e-01,3.884097e-02
3.00E-01,8.227395e-01,4.919910e-02
4.00E-01,1.039403e+00,7.951827e-02
5.00E-01,1.192463e+00,2.648718e-02
6.00E-01,1.357163e+00,6.628191e-02
7.00E-01,1.545820e+00,4.993642e-02
8.00E-01,1.688273e+00,6.662902e-02
9.00E-01,1.772599e+00,4.966846e-02
1.00E+00,1.888394e+00,1.383258e-01
2.00E+00,2.961054e+00,9.894280e-02
3.00E+00,3.813473e+00,1.058539e-01
4.00E+00,4.466759e+00,5.738972e-02
5.00E+00,5.050852e+00,9.471316e-02
6.00E+00,5.472101e+00,1.305612e-01
7.00E+00,5.988314e+00,6.221085e-02
8.00E+00,6.369102e+00,5.150873e-02
9.00E+00,6.704667e+00,5.243882e-02
1.00E+01,7.143881e+00,5.737503e-02
2.00E+01,9.931736e+00,1.501755e-01
3.00E+01,1.165753e+01,1.466721e-01
4.00E+01,1.312775e+01,1.331921e-01
5.00E+01,1.435592e+01,1.877415e-01
6.00E+01,1.523189e+01,1.458530e-01
7.00E+01,1.604981e+01,1.797891e-01
8.00E+01,1.682923e+01,8.017642e-02
9.00E+01,1.765425e+01,2.667803e-01
1.00E+02,1.812487e+01,6.642577e-02
2.00E+02,2.273741e+01,1.317525e-01
3.00E+02,2.534274e+01,1.707377e-01
4.00E+02,2.705187e+01,1.205989e-01
5.00E+02,2.869661e+01,2.069140e-01
6.00E+02,3.007786e+01,1.282122e-01
7.00E+02,3.110714e+01,1.302982e-01
8.00E+02,3.204885e+01,1.714178e-01
9.00E+02,3.284677e+01,1.582232e-01
1.00E+03,3.363660e+01,2.295410e-01
5.00E+03,5.066510e+01,3.123831e-01
1.00E+04,7.276469e+01,1.088688e-01
2.00E+04,7.520828e+01,3.234285e-01
3.00E+04,7.592431e+01,9.179882e-02
4.00E+04,7.648011e+01,3.007267e-01
5.00E+04,7.707699e+01,5.033732e-01
6.00E+04,7.733286e+01,4.240519e-01
7.00E+04,7.763874e+01,4.643743e-01
8.00E+04,7.792049e+01,2.776095e-01
9.00E+04,7.800695e+01,2.172999e-01
1.00E+05,7.843713e+01,1.645907e-01
