Pressure,uptake,error
1.00E-04,3.705990e-04,4.256806e-05
5.00E-04,1.503527e-03,5.289586e-04
1.00E-03,2.839633e-03,6.930533e-04
5.00E-03,1.638438e-02,1.635246e-03
1.00E-02,2.841909e-02,4.646166e-03
5.00E-02,1.199473e-01,1.447545e-02
1.00E-01,1.980640e-01,2.393057e-02
2.00E-01,3.132894e-01,4.277404e-02
3.00E-01,4.125384e-01,2.866463e-02
4.00E-01,4.633950e-01,3.068849e-02
5.00E-01,5.626408e-01,1.658741e-02
6.00E-01,6.403056e-01,3.409422e-02
7.00E-01,6.972576e-01,5.022730e-02
8.00E-01,7.587592e-01,4.859103e-02
9.00E-01,8.159777e-01,5.744963e-02
1.00E+00,8.937856e-01,4.563766e-02
2.00E+00,1.456883e+00,4.550250e-02
3.00E+00,1.880899e+00,5.425216e-02
4.00E+00,2.285653e+00,1.016316e-01
5.00E+00,2.593135e+00,9.061285e-02
6.00E+00,2.957907e+00,5.339153e-02
7.00E+00,3.220019e+00,6.478253e-02
8.00E+00,3.481712e+00,5.357093e-02
9.00E+00,3.717397e+00,7.156393e-02
1.00E+01,3.970204e+00,1.329389e-01
2.00E+01,5.798559e+00,9.815220e-02
3.00E+01,6.955446e+00,5.250076e-02
4.00E+01,7.865523e+00,4.156747e-02
5.00E+01,8.690150e+00,3.597459e-02
6.00E+01,9.402012e+00,1.047416e-01
7.00E+01,1.002439e+01,6.680366e-02
8.00E+01,1.069847e+01,9.943818e-02
9.00E+01,1.129081e+01,7.248350e-02
1.00E+02,1.190040e+01,1.594008e-01
2.00E+02,1.637822e+01,1.259976e-01
3.00E+02,1.914761e+01,
4.00E+02,2.265855e+01,
5.00E+02,2.481105e+01,1.395380e-01
6.00E+02,2.652709e+01,
7.00E+02,2.903025e+01,
8.00E+02,2.935534e+01,
9.00E+02,3.127335e+01,
1.00E+03,3.158630e+01,1.426419e-01
5.00E+03,8.504082e+01,1.178227e-01
1.00E+04,8.860363e+01,2.750122e-01
2.00E+04,9.121032e+01,1.639608e-01
3.00E+04,9.220626e+01,4.837074e-01
4.00E+04,9.307155e+01,2.250885e-01
5.00E+04,9.365624e+01,2.338091e-01
6.00E+04,9.387971e+01,1.603696e-01
7.00E+04,9.435385e+01,4.226065e-01
8.00E+04,9.452721e+01,4.153011e-01
9.00E+04,9.466307e+01,3.606682e-01
1.00E+05,9.512656e+01,2.606367e-01
