Pressure,uptake,error
1.00E-04,4.551216e-04,1.523496e-04
5.00E-04,1.547413e-03,6.102997e-04
1.00E-03,5.334675e-03,1.699036e-03
5.00E-03,2.478462e-02,8.448306e-03
1.00E-02,3.973211e-02,1.319971e-02
5.00E-02,1.290920e-01,9.586201e-03
1.00E-01,2.136113e-01,1.665164e-02
2.00E-01,3.346476e-01,2.449807e-02
3.00E-01,4.458306e-01,4.453439e-02
4.00E-01,5.363413e-01,4.984676e-02
5.00E-01,6.296997e-01,3.695638e-02
6.00E-01,6.979192e-01,8.040509e-02
7.00E-01,7.472511e-01,3.398488e-02
8.00E-01,8.185231e-01,5.209829e-02
9.00E-01,8.788755e-01,4.318236e-02
1.00E+00,9.421764e-01,4.666848e-02
2.00E+00,1.385624e+00,4.560315e-02
3.00E+00,1.837869e+00,8.029634e-02
4.00E+00,2.190906e+00,5.619921e-02
5.00E+00,2.486020e+00,1.141880e-01
6.00E+00,2.721211e+00,1.063258e-01
7.00E+00,2.969932e+00,1.118765e-01
8.00E+00,3.200538e+00,8.664207e-02
9.00E+00,3.467064e+00,6.209300e-02
1.00E+01,3.719208e+00,1.072669e-01
2.00E+01,5.360282e+00,8.157129e-02
3.00E+01,6.658552e+00,1.250179e-01
4.00E+01,7.707919e+00,5.938144e-02
5.00E+01,8.604457e+00,1.312935e-01
6.00E+01,9.362465e+00,9.440037e-02
7.00E+01,9.944988e+00,9.675182e-02
8.00E+01,1.062135e+01,1.730353e-01
9.00E+01,1.124267e+01,1.169580e-01
1.00E+02,1.157425e+01,1.857483e-01
2.00E+02,1.568693e+01,1.280641e-01
3.00E+02,1.871409e+01,1.171206e-01
4.00E+02,2.103308e+01,1.873619e-01
5.00E+02,2.315539e+01,1.122160e-01
6.00E+02,2.506908e+01,1.366642e-01
7.00E+02,2.732764e+01,1.949030e-01
8.00E+02,2.925931e+01,1.829438e-01
9.00E+02,3.150021e+01,2.585191e-01
1.00E+03,3.440126e+01,2.276742e-01
5.00E+03,7.789321e+01,3.397700e-01
1.00E+04,8.021159e+01,2.914245e-01
2.00E+04,8.236380e+01,2.140339e-01
3.00E+04,8.321523e+01,4.735497e-01
4.00E+04,8.393369e+01,4.894071e-01
5.00E+04,8.448095e+01,1.794956e-01
6.00E+04,8.476082e+01,3.257970e-01
7.00E+04,8.514156e+01,4.784896e-01
8.00E+04,8.537167e+01,4.375176e-01
9.00E+04,8.525953e+01,2.857452e-01
1.00E+05,8.569167e+01,3.748255e-01
