Pressure,uptake,error
1.00E-04,7.303617e-04,2.039330e-04
5.00E-04,2.451155e-03,1.218514e-03
1.00E-03,6.746635e-03,1.207331e-03
5.00E-03,2.871167e-02,5.912857e-03
1.00E-02,5.098228e-02,1.087327e-02
5.00E-02,2.183673e-01,6.044516e-02
1.00E-01,3.159324e-01,2.416060e-02
2.00E-01,4.833131e-01,6.745398e-02
3.00E-01,5.720033e-01,5.832754e-02
4.00E-01,6.062544e-01,5.118924e-02
5.00E-01,6.918931e-01,3.297214e-02
6.00E-01,6.977729e-01,3.273785e-02
7.00E-01,7.458814e-01,2.404441e-02
8.00E-01,7.845320e-01,4.480996e-02
9.00E-01,8.226691e-01,4.196420e-02
1.00E+00,8.371506e-01,4.744531e-02
2.00E+00,1.122380e+00,8.312492e-02
3.00E+00,1.379866e+00,4.433373e-02
4.00E+00,1.630757e+00,4.282682e-02
5.00E+00,1.825636e+00,4.835657e-02
6.00E+00,2.017571e+00,9.539844e-02
7.00E+00,2.154929e+00,3.943413e-02
8.00E+00,2.333051e+00,6.324211e-02
9.00E+00,2.495921e+00,5.268183e-02
1.00E+01,2.620542e+00,6.383109e-02
2.00E+01,4.020000e+00,9.804076e-02
3.00E+01,5.139807e+00,3.343160e-02
4.00E+01,6.065698e+00,3.788909e-02
5.00E+01,6.957025e+00,9.741752e-02
6.00E+01,7.781725e+00,1.152287e-01
7.00E+01,8.610772e+00,1.550857e-01
8.00E+01,9.514511e+00,1.117663e-01
9.00E+01,1.022779e+01,1.609708e-01
1.00E+02,1.110592e+01,9.980216e-02
2.00E+02,1.799146e+01,2.281782e-01
3.00E+02,2.241870e+01,2.540842e-01
4.00E+02,2.572525e+01,1.092593e-01
5.00E+02,2.780685e+01,7.251639e-02
6.00E+02,2.930116e+01,
7.00E+02,3.099161e+01,
8.00E+02,3.389572e+01,
9.00E+02,3.250868e+01,
1.00E+03,3.461249e+01,3.399818e-01
5.00E+03,5.399652e+01,2.687529e-01
1.00E+04,9.160792e+01,2.844791e-01
2.00E+04,9.478973e+01,2.872823e-01
3.00E+04,9.622900e+01,3.180488e-01
4.00E+04,9.691193e+01,3.463690e-01
5.00E+04,9.740099e+01,2.800819e-01
6.00E+04,9.803397e+01,2.041522e-01
7.00E+04,9.851506e+01,3.694920e-01
8.00E+04,9.907483e+01,2.562959e-01
9.00E+04,9.919498e+01,1.868410e-01
1.00E+05,9.929082e+01,4.249282e-01
