Pressure,uptake,error
1.00E-04,9.102431e-05,3.757162e-05
5.00E-04,6.089960e-04,2.058761e-04
1.00E-03,1.631936e-03,8.716125e-04
5.00E-03,5.238232e-03,8.945149e-04
1.00E-02,1.489981e-02,3.779961e-03
5.00E-02,5.466877e-02,1.413418e-02
1.00E-01,1.267839e-01,2.027285e-02
2.00E-01,1.968964e-01,3.146740e-02
3.00E-01,2.898106e-01,3.711277e-02
4.00E-01,3.610436e-01,2.194871e-02
5.00E-01,4.054678e-01,2.425507e-02
6.00E-01,5.027685e-01,4.587880e-02
7.00E-01,5.584797e-01,5.319477e-02
8.00E-01,5.697125e-01,4.892400e-02
9.00E-01,6.520700e-01,6.989116e-02
1.00E+00,6.559862e-01,6.330110e-02
2.00E+00,1.052703e+00,4.962990e-02
3.00E+00,1.415146e+00,5.073896e-02
4.00E+00,1.685980e+00,7.303496e-02
5.00E+00,1.932622e+00,5.945254e-02
6.00E+00,2.101483e+00,6.178772e-02
7.00E+00,2.387199e+00,6.308096e-02
8.00E+00,2.601650e+00,4.231019e-02
9.00E+00,2.784139e+00,4.880786e-02
1.00E+01,3.025635e+00,8.395278e-02
2.00E+01,4.570573e+00,1.235975e-01
3.00E+01,5.988466e+00,5.421132e-02
4.00E+01,7.159708e+00,7.391031e-02
5.00E+01,8.368324e+00,1.353227e-01
6.00E+01,9.511120e+00,1.042491e-01
7.00E+01,1.056892e+01,1.307405e-01
8.00E+01,1.156755e+01,1.127093e-01
9.00E+01,1.253742e+01,1.320878e-01
1.00E+02,1.340607e+01,8.013745e-02
2.00E+02,2.004447e+01,2.288117e-01
3.00E+02,2.412788e+01,1.748809e-01
4.00E+02,2.668423e+01,1.775453e-01
5.00E+02,2.866659e+01,1.072585e-01
6.00E+02,3.016203e+01,2.862147e-01
7.00E+02,3.136326e+01,2.934645e-01
8.00E+02,3.282721e+01,2.441842e-01
9.00E+02,3.368763e+01,1.690451e-01
1.00E+03,3.475937e+01,2.732484e-01
2.00E+03,4.139863e+01,2.606631e-01
3.00E+03,4.600535e+01,3.354718e-01
4.00E+03,4.952457e+01,2.537164e-01
5.00E+03,5.300217e+01,1.328879e-01
6.00E+03,5.649621e+01,2.119191e-01
7.00E+03,5.985451e+01,3.269809e-01
8.00E+03,8.019908e+01,2.158409e-01
9.00E+03,8.060499e+01,1.573080e-01
1.00E+04,8.085035e+01,3.619962e-01
2.00E+04,8.345243e+01,1.900950e-01
3.00E+04,8.445800e+01,8.688303e-02
4.00E+04,8.524175e+01,3.610452e-01
5.00E+04,8.569131e+01,2.311698e-01
6.00E+04,8.619144e+01,5.263814e-01
7.00E+04,8.642247e+01,3.568331e-01
8.00E+04,8.664897e+01,3.479859e-01
9.00E+04,8.710243e+01,3.806752e-01
1.00E+05,8.716281e+01,9.612642e-02
