Pressure,uptake,error
1.00E-04,1.950521e-05,3.315780e-05
5.00E-04,9.752605e-05,1.132555e-04
1.00E-03,3.023308e-04,2.070704e-04
5.00E-03,1.414128e-03,4.590490e-04
1.00E-02,2.282110e-03,4.925543e-04
5.00E-02,1.204447e-02,2.558743e-03
1.00E-01,2.411819e-02,1.924200e-03
2.00E-01,4.886055e-02,4.127003e-03
3.00E-01,7.724063e-02,7.886865e-03
4.00E-01,1.031533e-01,5.887043e-03
5.00E-01,1.215370e-01,1.386011e-02
6.00E-01,1.426318e-01,5.281709e-03
7.00E-01,1.634439e-01,1.841877e-02
8.00E-01,1.969148e-01,2.718388e-02
9.00E-01,2.218425e-01,2.050467e-02
1.00E+00,2.298591e-01,1.514078e-02
2.00E+00,4.692076e-01,3.351862e-02
3.00E+00,6.842037e-01,4.485133e-02
4.00E+00,8.268063e-01,1.775102e-02
5.00E+00,1.029807e+00,6.756100e-02
6.00E+00,1.239351e+00,4.772738e-02
7.00E+00,1.355729e+00,7.863689e-02
8.00E+00,1.517018e+00,7.589830e-02
9.00E+00,1.685231e+00,5.470589e-02
1.00E+01,1.803491e+00,8.305078e-02
2.00E+01,3.065741e+00,7.460022e-02
3.00E+01,3.917348e+00,2.195545e-01
4.00E+01,4.888952e+00,1.461753e-01
5.00E+01,5.608850e+00,1.568907e-01
6.00E+01,6.451260e+00,1.166415e-01
7.00E+01,7.401847e+00,2.249607e-01
8.00E+01,8.256204e+00,2.734436e-01
9.00E+01,8.865976e+00,2.162156e-01
1.00E+02,9.708533e+00,2.483437e-01
2.00E+02,1.859383e+01,3.978763e-01
3.00E+02,2.921585e+01,2.331284e-01
4.00E+02,3.774671e+01,9.505727e-01
5.00E+02,4.310260e+01,8.496259e-01
6.00E+02,4.925856e+01,1.269597e+00
7.00E+02,5.525380e+01,9.447086e-01
8.00E+02,6.004536e+01,1.051821e+00
9.00E+02,6.255371e+01,7.865107e-01
1.00E+03,6.354103e+01,3.117746e-01
5.00E+03,7.025471e+01,2.901350e-01
1.00E+04,7.270261e+01,5.073297e-01
2.00E+04,7.360219e+01,2.534234e-01
3.00E+04,7.431694e+01,2.634653e-01
4.00E+04,7.480745e+01,6.167300e-01
5.00E+04,7.589305e+01,3.972036e-01
6.00E+04,7.561532e+01,4.521138e-01
7.00E+04,7.635180e+01,5.325738e-01
8.00E+04,7.580259e+01,3.185365e-01
9.00E+04,7.579965e+01,5.061566e-01
1.00E+05,7.613292e+01,2.110831e-01
