Pressure,uptake,error
1.00E-04,5.851563e-05,6.631560e-05
5.00E-04,9.752605e-05,7.414310e-05
1.00E-03,2.633203e-04,1.393680e-04
5.00E-03,1.287344e-03,4.398879e-04
1.00E-02,2.282110e-03,8.901290e-04
5.00E-02,1.004518e-02,7.893135e-04
1.00E-01,2.221643e-02,4.377918e-03
2.00E-01,4.503753e-02,6.139657e-03
3.00E-01,6.288480e-02,2.470423e-03
4.00E-01,9.091378e-02,6.487217e-03
5.00E-01,1.123695e-01,5.570215e-03
6.00E-01,1.186599e-01,1.145646e-02
7.00E-01,1.395695e-01,4.716185e-03
8.00E-01,1.657650e-01,9.065147e-03
9.00E-01,1.937550e-01,1.505833e-02
1.00E+00,2.265042e-01,9.248986e-03
2.00E+00,4.020414e-01,2.935690e-02
3.00E+00,5.794218e-01,1.564189e-02
4.00E+00,7.630731e-01,5.373916e-02
5.00E+00,9.163157e-01,2.180813e-02
6.00E+00,1.070192e+00,5.095980e-02
7.00E+00,1.242999e+00,1.276879e-01
8.00E+00,1.341325e+00,8.250674e-02
9.00E+00,1.487233e+00,1.090256e-01
1.00E+01,1.592581e+00,8.539792e-02
2.00E+01,2.751424e+00,6.454173e-02
3.00E+01,3.653628e+00,1.373117e-01
4.00E+01,4.654060e+00,1.537500e-01
5.00E+01,5.633134e+00,1.479568e-01
6.00E+01,6.415107e+00,1.444439e-01
7.00E+01,7.482189e+00,1.569690e-01
8.00E+01,8.272579e+00,1.934620e-01
9.00E+01,9.382181e+00,1.519536e-01
1.00E+02,1.047414e+01,2.583348e-01
2.00E+02,2.348260e+01,8.588503e-01
3.00E+02,3.443378e+01,5.575182e-01
4.00E+02,4.042975e+01,5.635235e-01
5.00E+02,4.627491e+01,1.147377e+00
6.00E+02,5.342558e+01,8.971069e-01
7.00E+02,5.728469e+01,1.074745e+00
8.00E+02,5.966214e+01,6.126499e-01
9.00E+02,6.009793e+01,1.145409e-01
1.00E+03,6.057451e+01,7.626199e-01
1.50E+03,6.236022e+01,5.074882e-01
2.00E+03,6.402844e+01,7.635149e-01
2.50E+03,6.512706e+01,2.641164e-01
3.00E+03,6.496785e+01,4.466355e-01
3.50E+03,6.537865e+01,5.188199e-01
4.00E+03,6.603815e+01,6.645896e-01
4.50E+03,6.602617e+01,4.392329e-01
5.00E+03,6.711422e+01,4.478247e-01
5.50E+03,6.701950e+01,5.217604e-01
6.00E+03,6.752895e+01,4.426192e-01
6.50E+03,6.706823e+01,2.598826e-01
7.00E+03,6.763524e+01,4.169474e-01
7.50E+03,6.750993e+01,7.695281e-01
8.00E+03,6.840514e+01,1.829069e-01
8.50E+03,6.819272e+01,5.832347e-01
9.00E+03,6.759978e+01,4.653236e-01
9.50E+03,6.794299e+01,2.992858e-01
1.00E+04,6.773840e+01,4.342928e-01
1.50E+04,6.929807e+01,2.687698e-01
2.00E+04,6.950909e+01,7.192510e-01
2.50E+04,7.082084e+01,3.837833e-01
3.00E+04,6.999737e+01,3.425525e-01
3.50E+04,6.997894e+01,5.176118e-01
4.00E+04,7.055341e+01,1.157053e-01
4.50E+04,7.108609e+01,1.215189e+00
5.00E+04,7.074926e+01,5.075347e-01
5.50E+04,7.135966e+01,2.787033e-01
6.00E+04,7.085174e+01,2.293287e-01
6.50E+04,7.138156e+01,3.760500e-01
7.00E+04,7.157378e+01,4.849708e-01
7.50E+04,7.138407e+01,4.301145e-01
8.00E+04,7.116211e+01,3.034895e-01
8.50E+04,7.159008e+01,7.508707e-01
9.00E+04,7.189915e+01,2.725743e-01
9.50E+04,7.191114e+01,4.107346e-01
1.00E+05,7.223657e+01,1.740025e-01
