Pressure,uptake,error
1.00E-04,6.826823e-05,6.562118e-05
5.00E-04,2.633203e-04,8.928011e-05
1.00E-03,4.876302e-04,1.630024e-04
5.00E-03,2.282110e-03,3.001041e-04
1.00E-02,4.417930e-03,6.900355e-04
5.00E-02,2.358667e-02,2.098132e-03
1.00E-01,4.405739e-02,2.297539e-03
2.00E-01,8.879747e-02,5.903423e-03
3.00E-01,1.303533e-01,1.187875e-02
4.00E-01,1.840950e-01,1.466392e-02
5.00E-01,2.240173e-01,1.809261e-02
6.00E-01,2.657829e-01,1.826757e-02
7.00E-01,2.994001e-01,2.760530e-02
8.00E-01,3.394687e-01,3.056487e-02
9.00E-01,3.891679e-01,5.165421e-02
1.00E+00,4.140517e-01,2.467100e-02
2.00E+00,8.067208e-01,5.939452e-02
3.00E+00,1.160672e+00,1.034278e-01
4.00E+00,1.378853e+00,1.055483e-01
5.00E+00,1.641729e+00,8.659050e-02
6.00E+00,1.859871e+00,1.017749e-01
7.00E+00,2.050968e+00,1.132291e-01
8.00E+00,2.304263e+00,1.463474e-01
9.00E+00,2.463684e+00,4.607163e-02
1.00E+01,2.666908e+00,5.465204e-02
2.00E+01,3.980404e+00,1.185861e-01
3.00E+01,4.890273e+00,1.131222e-01
4.00E+01,5.660266e+00,6.798517e-02
5.00E+01,6.355973e+00,5.725609e-02
6.00E+01,6.975653e+00,1.415631e-01
7.00E+01,7.561195e+00,8.173835e-02
8.00E+01,8.125909e+00,1.726338e-01
9.00E+01,8.594585e+00,1.605768e-01
1.00E+02,9.190021e+00,1.216630e-01
2.00E+02,1.497295e+01,2.041737e-01
3.00E+02,2.151074e+01,6.050796e-01
4.00E+02,2.904062e+01,3.345219e-01
5.00E+02,3.554517e+01,2.987226e-01
6.00E+02,4.055390e+01,6.799146e-01
7.00E+02,4.647997e+01,9.358674e-01
8.00E+02,5.514993e+01,1.170542e+00
9.00E+02,6.058223e+01,8.807535e-01
1.00E+03,6.515800e+01,6.721618e-01
5.00E+03,7.489260e+01,2.971279e-01
1.00E+04,7.722254e+01,4.724053e-01
2.00E+04,7.815031e+01,4.794416e-01
3.00E+04,7.949933e+01,2.888067e-01
4.00E+04,7.974920e+01,4.970131e-01
5.00E+04,8.015874e+01,2.503049e-01
6.00E+04,8.067799e+01,4.001280e-01
7.00E+04,8.051235e+01,3.204619e-01
8.00E+04,8.082419e+01,6.294734e-01
9.00E+04,8.067904e+01,1.481394e-01
1.00E+05,8.125374e+01,3.231327e-01
