Pressure,uptake,error
1.00E-04,1.170313e-04,8.476330e-05
5.00E-04,4.681250e-04,2.134294e-04
1.00E-03,1.146473e-03,1.021881e-04
5.00E-03,4.754937e-03,6.246068e-04
1.00E-02,1.019906e-02,2.841621e-03
5.00E-02,4.371768e-02,3.141662e-03
1.00E-01,8.229898e-02,1.151279e-02
2.00E-01,1.431097e-01,1.121681e-02
3.00E-01,2.036756e-01,1.400833e-02
4.00E-01,2.497794e-01,2.125427e-02
5.00E-01,3.065764e-01,3.443902e-02
6.00E-01,3.461850e-01,3.876446e-02
7.00E-01,3.980472e-01,5.024916e-02
8.00E-01,4.277948e-01,1.148331e-02
9.00E-01,4.776804e-01,4.022282e-02
1.00E+00,5.221870e-01,1.573199e-02
2.00E+00,8.305665e-01,3.383636e-02
3.00E+00,1.158330e+00,4.465666e-02
4.00E+00,1.370076e+00,4.813791e-02
5.00E+00,1.681822e+00,3.780344e-02
6.00E+00,1.893891e+00,6.147907e-02
7.00E+00,2.212316e+00,7.530011e-02
8.00E+00,2.460431e+00,8.234717e-02
9.00E+00,2.647520e+00,5.569458e-02
1.00E+01,2.915860e+00,5.338349e-02
2.00E+01,4.935574e+00,1.091441e-01
3.00E+01,6.748345e+00,6.478448e-02
4.00E+01,8.132613e+00,1.192888e-01
5.00E+01,9.429833e+00,1.233222e-01
6.00E+01,1.028867e+01,6.101741e-02
7.00E+01,1.121295e+01,1.431137e-01
8.00E+01,1.191576e+01,1.055756e-01
9.00E+01,1.260071e+01,2.213583e-01
1.00E+02,1.318591e+01,7.642862e-02
2.00E+02,1.748071e+01,7.859242e-02
3.00E+02,2.087709e+01,6.576525e-02
4.00E+02,2.369386e+01,1.579547e-01
5.00E+02,2.669194e+01,1.507415e-01
6.00E+02,2.904292e+01,1.836616e-01
7.00E+02,3.152896e+01,2.674778e-01
8.00E+02,3.392513e+01,1.766357e-01
9.00E+02,3.610594e+01,3.377536e-01
1.00E+03,3.769574e+01,3.243889e-01
2.00E+03,5.431294e+01,3.734137e-01
3.00E+03,6.416333e+01,1.641151e-01
4.00E+03,6.687758e+01,2.809680e-01
5.00E+03,6.925194e+01,2.556381e-01
6.00E+03,8.104235e+01,3.787467e-01
7.00E+03,8.184544e+01,5.511134e-02
8.00E+03,8.235086e+01,2.536186e-01
9.00E+03,8.262225e+01,3.247046e-01
1.00E+04,8.316849e+01,3.262620e-01
2.00E+04,8.551237e+01,1.444008e-01
3.00E+04,8.641710e+01,2.185118e-01
4.00E+04,8.727522e+01,3.807766e-01
5.00E+04,8.755816e+01,4.239262e-01
6.00E+04,8.804213e+01,4.379683e-01
7.00E+04,8.821139e+01,3.795686e-01
8.00E+04,8.873178e+01,5.970653e-01
9.00E+04,8.862531e+01,3.701581e-01
1.00E+05,8.910543e+01,4.746577e-01
