Pressure,uptake,error
1.00E-04,9.752605e-05,6.053759e-05
5.00E-04,4.258637e-04,1.162714e-04
1.00E-03,9.362501e-04,1.691927e-04
5.00E-03,4.593477e-03,1.287411e-03
1.00E-02,9.369002e-03,1.310685e-03
5.00E-02,4.440686e-02,5.882971e-03
1.00E-01,8.363184e-02,2.905853e-03
2.00E-01,1.756997e-01,1.124204e-02
3.00E-01,2.277233e-01,2.374700e-02
4.00E-01,2.939078e-01,1.695328e-02
5.00E-01,3.618151e-01,2.322661e-02
6.00E-01,4.501770e-01,3.203378e-02
7.00E-01,4.711418e-01,4.280714e-02
8.00E-01,5.712036e-01,5.224810e-02
9.00E-01,6.058221e-01,3.472101e-02
1.00E+00,6.698609e-01,2.898046e-02
2.00E+00,1.113868e+00,6.203733e-02
3.00E+00,1.436819e+00,5.697934e-02
4.00E+00,1.732583e+00,5.812657e-02
5.00E+00,1.945128e+00,3.392354e-02
6.00E+00,2.237345e+00,3.411463e-02
7.00E+00,2.373144e+00,1.357492e-01
8.00E+00,2.575526e+00,7.086703e-02
9.00E+00,2.779980e+00,6.511129e-02
1.00E+01,2.894511e+00,5.246427e-02
2.00E+01,4.065828e+00,1.071073e-01
3.00E+01,4.883536e+00,4.151784e-02
4.00E+01,5.613180e+00,3.250154e-02
5.00E+01,6.194786e+00,1.502652e-01
6.00E+01,6.761172e+00,1.031052e-01
7.00E+01,7.381298e+00,6.583120e-02
8.00E+01,7.997468e+00,8.571934e-02
9.00E+01,8.580114e+00,9.251769e-02
1.00E+02,9.139767e+00,1.009113e-01
2.00E+02,1.536810e+01,5.245610e-02
3.00E+02,2.293694e+01,4.391917e-01
4.00E+02,3.165989e+01,7.384286e-01
5.00E+02,3.968232e+01,1.888452e-01
6.00E+02,4.428933e+01,7.622047e-01
7.00E+02,4.788463e+01,3.509324e-01
8.00E+02,4.997695e+01,1.511036e-01
9.00E+02,5.257258e+01,2.852464e-01
1.00E+03,5.427089e+01,2.575701e-01
1.50E+03,6.546283e+01,5.923484e-01
2.00E+03,6.967153e+01,3.330094e-01
2.50E+03,7.088524e+01,2.388663e-01
3.00E+03,7.188165e+01,4.753768e-01
3.50E+03,7.226231e+01,4.850462e-01
4.00E+03,7.272068e+01,4.506836e-01
4.50E+03,7.308132e+01,3.158567e-01
5.00E+03,7.330866e+01,4.318160e-01
5.50E+03,7.389715e+01,1.580459e-01
6.00E+03,7.407429e+01,4.079251e-01
6.50E+03,7.441295e+01,3.464797e-01
7.00E+03,7.462082e+01,4.248742e-01
7.50E+03,7.455808e+01,2.252079e-01
8.00E+03,7.495117e+01,3.675581e-01
8.50E+03,7.507722e+01,1.670619e-01
9.00E+03,7.539508e+01,1.528271e-01
9.50E+03,7.512697e+01,2.738909e-01
1.00E+04,7.530494e+01,1.372166e-01
1.50E+04,7.638997e+01,4.763746e-01
2.00E+04,7.679883e+01,1.981354e-01
2.50E+04,7.777265e+01,5.127973e-01
3.00E+04,7.764794e+01,7.114118e-01
3.50E+04,7.848391e+01,1.728808e-01
4.00E+04,7.866537e+01,2.292574e-01
4.50E+04,7.839722e+01,1.264979e-01
5.00E+04,7.886061e+01,1.556273e-01
5.50E+04,7.880958e+01,3.419118e-01
6.00E+04,7.928125e+01,1.948964e-01
6.50E+04,7.902331e+01,4.989221e-01
7.00E+04,7.895930e+01,2.928333e-01
7.50E+04,7.925744e+01,3.983595e-01
8.00E+04,7.936694e+01,4.340942e-01
8.50E+04,7.932827e+01,2.912906e-01
9.00E+04,7.993969e+01,4.744716e-01
9.50E+04,7.944391e+01,3.218201e-01
1.00E+05,7.980981e+01,5.135106e-01
