Pressure,uptake,error
1.00E-04,2.568186e-04,1.099720e-04
5.00E-04,1.323103e-03,1.486975e-04
1.00E-03,2.230096e-03,3.098016e-04
5.00E-03,1.290270e-02,1.975882e-03
1.00E-02,2.574363e-02,2.648146e-03
5.00E-02,1.110399e-01,1.168172e-02
1.00E-01,2.160722e-01,1.180434e-02
2.00E-01,4.026851e-01,1.352320e-02
3.00E-01,5.615127e-01,2.314001e-02
4.00E-01,7.318420e-01,3.458685e-02
5.00E-01,8.373196e-01,4.584801e-02
6.00E-01,9.472543e-01,7.147915e-02
7.00E-01,1.083862e+00,8.336799e-02
8.00E-01,1.209001e+00,5.258922e-02
9.00E-01,1.267032e+00,8.939214e-02
1.00E+00,1.401342e+00,7.781219e-02
2.00E+00,2.193306e+00,4.658503e-02
3.00E+00,2.805402e+00,1.438543e-01
4.00E+00,3.151766e+00,1.035902e-01
5.00E+00,3.467834e+00,9.142332e-02
6.00E+00,3.780633e+00,6.832437e-02
7.00E+00,4.069206e+00,9.242087e-02
8.00E+00,4.310999e+00,4.944960e-02
9.00E+00,4.412511e+00,5.212224e-02
1.00E+01,4.727796e+00,1.123431e-01
2.00E+01,6.250539e+00,1.644163e-01
3.00E+01,7.634147e+00,1.528545e-01
4.00E+01,8.891772e+00,2.359501e-01
5.00E+01,1.017691e+01,1.235858e-01
6.00E+01,1.128576e+01,1.480478e-01
7.00E+01,1.240837e+01,1.764487e-01
8.00E+01,1.328351e+01,4.318789e-02
9.00E+01,1.427380e+01,1.252246e-01
1.00E+02,1.510826e+01,1.296360e-01
2.00E+02,2.076531e+01,8.660644e-02
3.00E+02,2.364462e+01,1.152891e-01
4.00E+02,2.555457e+01,1.964105e-01
5.00E+02,2.701325e+01,1.659440e-01
6.00E+02,2.811875e+01,1.805510e-01
7.00E+02,2.915374e+01,1.505651e-01
8.00E+02,2.994287e+01,1.454992e-01
9.00E+02,3.096639e+01,2.184467e-01
1.00E+03,3.181406e+01,1.925135e-01
5.00E+03,7.769977e+01,4.871300e-01
1.00E+04,8.002059e+01,3.894451e-01
2.00E+04,8.228261e+01,4.094616e-01
3.00E+04,8.337981e+01,2.424249e-01
4.00E+04,8.407951e+01,1.887465e-01
5.00E+04,8.421727e+01,3.557732e-01
6.00E+04,8.471379e+01,2.704433e-01
7.00E+04,8.513095e+01,5.021656e-01
8.00E+04,8.463656e+01,4.713837e-01
9.00E+04,8.552780e+01,7.732556e-01
1.00E+05,8.567842e+01,2.553331e-01
