Pressure,uptake,error
1.00E-04,5.786546e-04,1.500605e-04
5.00E-04,2.304866e-03,3.864197e-04
1.00E-03,5.321671e-03,7.509264e-04
5.00E-03,2.606546e-02,7.833240e-03
1.00E-02,4.430933e-02,7.748443e-03
5.00E-02,2.000259e-01,1.559810e-02
1.00E-01,3.712687e-01,3.104107e-02
2.00E-01,5.780889e-01,3.712392e-02
3.00E-01,7.886997e-01,3.708682e-02
4.00E-01,9.588664e-01,3.353694e-02
5.00E-01,1.056253e+00,7.568485e-02
6.00E-01,1.182614e+00,5.650827e-02
7.00E-01,1.280254e+00,2.265722e-02
8.00E-01,1.339452e+00,3.737364e-02
9.00E-01,1.415756e+00,8.109585e-02
1.00E+00,1.564815e+00,1.171690e-01
2.00E+00,2.186687e+00,9.307436e-02
3.00E+00,2.790523e+00,6.411479e-02
4.00E+00,3.173036e+00,1.156801e-01
5.00E+00,3.495740e+00,3.532697e-02
6.00E+00,3.948735e+00,8.944638e-02
7.00E+00,4.304280e+00,1.495922e-01
8.00E+00,4.589966e+00,4.810064e-02
9.00E+00,4.833043e+00,1.010893e-01
1.00E+01,5.180444e+00,8.479360e-02
2.00E+01,7.403641e+00,4.779650e-02
3.00E+01,8.946588e+00,1.110137e-01
4.00E+01,1.008695e+01,1.425832e-01
5.00E+01,1.119068e+01,1.648263e-01
6.00E+01,1.199141e+01,1.051484e-01
7.00E+01,1.287144e+01,1.248378e-01
8.00E+01,1.361244e+01,1.388490e-01
9.00E+01,1.439591e+01,9.503296e-02
1.00E+02,1.478114e+01,1.186297e-01
2.00E+02,1.963967e+01,2.110010e-01
3.00E+02,2.278722e+01,2.287256e-01
4.00E+02,2.449432e+01,1.929730e-01
5.00E+02,2.624970e+01,1.851004e-01
6.00E+02,2.792014e+01,2.397514e-01
7.00E+02,2.930297e+01,5.775458e-02
8.00E+02,3.067950e+01,9.341391e-02
9.00E+02,3.270735e+01,2.170467e-01
1.00E+03,3.479204e+01,4.486002e-01
1.50E+03,5.241243e+01,8.665206e-01
2.00E+03,5.883795e+01,4.252005e-01
2.50E+03,6.233627e+01,1.273463e-01
3.00E+03,6.351714e+01,2.884844e-01
3.50E+03,6.404551e+01,2.576760e-01
4.00E+03,6.456479e+01,3.645310e-01
4.50E+03,6.517107e+01,2.865994e-01
5.00E+03,6.537730e+01,7.121842e-02
5.50E+03,6.554667e+01,4.024503e-01
6.00E+03,6.562160e+01,5.091372e-01
6.50E+03,6.621165e+01,1.466785e-01
7.00E+03,6.612042e+01,1.605013e-01
7.50E+03,6.661837e+01,2.572304e-01
8.00E+03,6.677804e+01,1.955855e-01
8.50E+03,6.654632e+01,4.328613e-01
9.00E+03,6.710453e+01,2.757533e-01
9.50E+03,6.714700e+01,3.772806e-01
1.00E+04,6.704407e+01,3.693946e-01
1.50E+04,6.819735e+01,1.477014e-01
2.00E+04,6.862793e+01,3.042680e-01
2.50E+04,6.873011e+01,3.253646e-01
3.00E+04,6.914405e+01,3.125166e-01
3.50E+04,6.959064e+01,5.160491e-01
4.00E+04,6.970458e+01,2.259276e-01
4.50E+04,6.970267e+01,2.691522e-01
5.00E+04,7.016654e+01,4.182570e-01
5.50E+04,7.026091e+01,6.387541e-01
6.00E+04,7.081153e+01,3.087593e-01
6.50E+04,7.034787e+01,4.015767e-01
7.00E+04,7.055053e+01,1.389971e-01
7.50E+04,7.102748e+01,3.701625e-01
8.00E+04,7.091586e+01,5.259976e-01
8.50E+04,7.100624e+01,1.741731e-01
9.00E+04,7.073346e+01,5.016574e-01
9.50E+04,7.112618e+01,2.874797e-01
1.00E+05,7.091852e+01,3.740020e-01
