Pressure,uptake,error
1.00E-04,9.752605e-05,5.707538e-05
5.00E-04,3.771007e-04,1.840626e-04
1.00E-03,5.981598e-04,3.081542e-04
5.00E-03,3.393907e-03,6.947038e-04
1.00E-02,7.034879e-03,2.092535e-03
5.00E-02,3.066219e-02,4.647124e-03
1.00E-01,6.684435e-02,5.703999e-03
2.00E-01,1.297747e-01,2.396650e-02
3.00E-01,1.701765e-01,1.275429e-02
4.00E-01,2.377620e-01,2.023492e-02
5.00E-01,2.812391e-01,3.798546e-02
6.00E-01,3.118298e-01,3.633040e-02
7.00E-01,3.673611e-01,3.324236e-02
8.00E-01,3.904748e-01,3.567874e-02
9.00E-01,4.513831e-01,4.187231e-02
1.00E+00,4.736710e-01,1.125336e-02
2.00E+00,7.993235e-01,4.237720e-02
3.00E+00,1.056253e+00,4.021379e-02
4.00E+00,1.339832e+00,8.149825e-02
5.00E+00,1.477019e+00,5.819340e-02
6.00E+00,1.654250e+00,6.722008e-02
7.00E+00,1.908383e+00,1.371009e-01
8.00E+00,2.064555e+00,9.300680e-02
9.00E+00,2.224751e+00,1.087080e-01
1.00E+01,2.401020e+00,1.235918e-01
2.00E+01,3.849958e+00,7.745461e-02
3.00E+01,5.268968e+00,1.404204e-01
4.00E+01,6.537568e+00,1.951222e-01
5.00E+01,7.759010e+00,2.202462e-01
6.00E+01,8.797643e+00,2.015877e-01
7.00E+01,9.866541e+00,2.031135e-01
8.00E+01,1.073388e+01,6.191681e-02
9.00E+01,1.167696e+01,2.949849e-01
1.00E+02,1.248411e+01,1.234867e-01
2.00E+02,2.023195e+01,2.180377e-01
3.00E+02,2.916821e+01,6.030200e-01
4.00E+02,3.605530e+01,9.467595e-01
5.00E+02,4.161424e+01,3.345028e-01
6.00E+02,4.524712e+01,6.667184e-01
7.00E+02,4.720629e+01,3.772650e-01
8.00E+02,4.883399e+01,4.860317e-01
9.00E+02,4.969747e+01,4.069206e-01
1.00E+03,5.066863e+01,4.459955e-01
2.00E+03,5.643076e+01,2.382202e-01
3.00E+03,5.986289e+01,2.113843e-01
4.00E+03,6.235261e+01,4.453303e-01
5.00E+03,6.492801e+01,4.368539e-01
6.00E+03,7.632896e+01,4.767206e-01
7.00E+03,7.695474e+01,1.572403e-01
8.00E+03,7.678328e+01,4.460812e-01
9.00E+03,7.829453e+01,4.862426e-01
1.00E+04,7.812636e+01,2.061185e-01
2.00E+04,7.973165e+01,2.999347e-01
3.00E+04,8.088895e+01,8.998202e-01
4.00E+04,8.132810e+01,3.857412e-01
5.00E+04,8.150953e+01,6.030305e-01
6.00E+04,8.206604e+01,5.684470e-01
7.00E+04,8.169774e+01,2.316062e-01
8.00E+04,8.274602e+01,2.302125e-01
9.00E+04,8.244460e+01,1.944573e-01
1.00E+05,8.270606e+01,3.522410e-01
