Pressure,uptake,error
1.00E-04,1.331231e-03,4.769616e-04
5.00E-04,6.363575e-03,1.852712e-03
1.00E-03,1.286856e-02,7.148179e-04
5.00E-03,5.768178e-02,4.300907e-03
1.00E-02,1.233900e-01,1.283035e-02
5.00E-02,4.880301e-01,2.414236e-02
1.00E-01,7.651309e-01,7.812212e-02
2.00E-01,1.180670e+00,4.960093e-02
3.00E-01,1.403824e+00,7.547195e-02
4.00E-01,1.593873e+00,9.022448e-02
5.00E-01,1.751119e+00,1.176311e-01
6.00E-01,1.858554e+00,4.886669e-02
7.00E-01,1.977502e+00,3.542149e-02
8.00E-01,2.088267e+00,9.061876e-02
9.00E-01,2.225525e+00,3.575964e-02
1.00E+00,2.250306e+00,8.656382e-02
2.00E+00,2.948066e+00,4.872780e-02
3.00E+00,3.481841e+00,1.013243e-01
4.00E+00,3.997042e+00,6.151914e-02
5.00E+00,4.426839e+00,1.498964e-01
6.00E+00,4.796014e+00,1.483267e-01
7.00E+00,5.248008e+00,9.207468e-02
8.00E+00,5.537831e+00,7.121840e-02
9.00E+00,5.880167e+00,1.105409e-01
1.00E+01,6.201759e+00,1.542124e-01
2.00E+01,8.789540e+00,6.867459e-02
3.00E+01,1.080079e+01,1.891320e-01
4.00E+01,1.252223e+01,1.670965e-01
5.00E+01,1.423242e+01,2.198719e-01
6.00E+01,1.539245e+01,1.831437e-01
7.00E+01,1.668110e+01,2.685081e-01
8.00E+01,1.785995e+01,2.459231e-01
9.00E+01,1.874031e+01,1.932381e-01
1.00E+02,1.996245e+01,3.066694e-01
2.00E+02,2.485861e+01,2.633852e-01
3.00E+02,2.737925e+01,3.088673e-01
4.00E+02,2.941832e+01,1.594513e-01
5.00E+02,3.083825e+01,2.889624e-01
6.00E+02,3.246193e+01,1.763326e-01
7.00E+02,3.345089e+01,2.899709e-01
8.00E+02,3.424820e+01,3.141043e-01
9.00E+02,3.558641e+01,2.681954e-01
1.00E+03,3.641134e+01,1.661630e-01
5.00E+03,6.201525e+01,5.797424e-01
1.00E+04,6.933477e+01,3.419497e-01
2.00E+04,7.086672e+01,4.189681e-01
3.00E+04,7.191761e+01,3.104447e-01
4.00E+04,7.229997e+01,1.256540e-01
5.00E+04,7.268419e+01,6.201252e-01
6.00E+04,7.279372e+01,4.935921e-01
7.00E+04,7.334163e+01,3.348065e-01
8.00E+04,7.329924e+01,1.202828e-01
9.00E+04,7.388935e+01,1.189814e-01
1.00E+05,7.370556e+01,2.035161e-01
