Pressure,uptake,error
1.00E-04,2.518123e-02,1.341866e-02
5.00E-04,7.980069e-02,2.168667e-02
1.00E-03,1.025681e-01,1.481517e-02
5.00E-03,2.223594e-01,1.669609e-02
1.00E-02,3.095574e-01,2.172494e-02
5.00E-02,6.125465e-01,4.954482e-02
1.00E-01,8.505442e-01,4.742022e-02
2.00E-01,1.096807e+00,2.918329e-02
3.00E-01,1.307463e+00,6.546998e-02
4.00E-01,1.422817e+00,5.626365e-02
5.00E-01,1.578986e+00,5.605434e-03
6.00E-01,1.707106e+00,5.665621e-02
7.00E-01,1.845320e+00,3.349171e-02
8.00E-01,1.882155e+00,4.426576e-02
9.00E-01,2.025870e+00,8.612921e-02
1.00E+00,2.119870e+00,5.853656e-02
2.00E+00,2.869265e+00,1.098370e-01
3.00E+00,3.556843e+00,1.300673e-01
4.00E+00,4.213418e+00,9.505840e-02
5.00E+00,4.750591e+00,7.646428e-02
6.00E+00,5.405459e+00,1.515610e-01
7.00E+00,5.941004e+00,1.300100e-01
8.00E+00,6.342782e+00,1.183545e-01
9.00E+00,6.773881e+00,9.097387e-02
1.00E+01,7.340713e+00,1.007206e-01
2.00E+01,1.079100e+01,1.627608e-01
3.00E+01,1.313201e+01,1.832741e-01
4.00E+01,1.502765e+01,1.231486e-01
5.00E+01,1.643513e+01,2.863833e-01
6.00E+01,1.754698e+01,8.276446e-02
7.00E+01,1.830437e+01,2.290071e-01
8.00E+01,1.890313e+01,1.851020e-01
9.00E+01,1.978022e+01,8.691005e-02
1.00E+02,2.016491e+01,1.857609e-01
2.00E+02,2.359438e+01,4.687372e-01
3.00E+02,2.557751e+01,2.273480e-01
4.00E+02,2.740547e+01,1.505892e-01
5.00E+02,2.879231e+01,3.117340e-01
6.00E+02,3.020526e+01,2.803727e-01
7.00E+02,3.107827e+01,3.720123e-01
8.00E+02,3.201831e+01,3.006163e-01
9.00E+02,3.298020e+01,1.974608e-01
1.00E+03,3.370479e+01,1.804706e-01
2.00E+03,4.044548e+01,4.204743e-01
3.00E+03,4.625979e+01,3.636483e-01
4.00E+03,5.049215e+01,4.329304e-01
5.00E+03,5.128408e+01,2.295253e-01
6.00E+03,5.161930e+01,2.262985e-01
7.00E+03,5.217163e+01,1.394335e-01
8.00E+03,5.258125e+01,2.685905e-01
9.00E+03,5.269572e+01,4.201976e-01
1.00E+04,5.303085e+01,1.881473e-01
2.00E+04,5.393652e+01,2.311943e-01
3.00E+04,5.470160e+01,2.508638e-01
4.00E+04,5.506968e+01,4.898143e-01
5.00E+04,5.502879e+01,2.167912e-01
6.00E+04,5.536632e+01,3.000651e-01
7.00E+04,5.557966e+01,1.581731e-01
8.00E+04,5.564108e+01,2.841584e-01
9.00E+04,5.547839e+01,9.099526e-02
1.00E+05,5.573099e+01,2.718485e-01
