Pressure,uptake,error
1.00E-04,7.997136e-04,3.181105e-04
5.00E-04,4.033921e-03,1.703489e-03
1.00E-03,8.605455e-03,1.627734e-03
5.00E-03,3.875929e-02,9.472452e-03
1.00E-02,6.308351e-02,1.587516e-02
5.00E-02,2.570080e-01,3.693951e-02
1.00E-01,4.468290e-01,3.913384e-02
2.00E-01,6.212044e-01,6.547693e-02
3.00E-01,8.038548e-01,4.507376e-02
4.00E-01,9.486371e-01,1.816067e-02
5.00E-01,1.065084e+00,5.567067e-02
6.00E-01,1.155804e+00,2.633471e-02
7.00E-01,1.258466e+00,5.203530e-02
8.00E-01,1.329954e+00,3.762350e-02
9.00E-01,1.400648e+00,7.327876e-02
1.00E+00,1.475586e+00,4.159822e-02
2.00E+00,2.072617e+00,5.955023e-02
3.00E+00,2.607372e+00,1.002231e-02
4.00E+00,3.090002e+00,3.844759e-02
5.00E+00,3.521366e+00,4.667239e-02
6.00E+00,3.913613e+00,5.178865e-02
7.00E+00,4.273471e+00,4.636188e-02
8.00E+00,4.631458e+00,6.435679e-02
9.00E+00,4.943761e+00,4.617713e-02
1.00E+01,5.220289e+00,6.284189e-02
2.00E+01,7.260427e+00,8.602602e-02
3.00E+01,8.624172e+00,5.542098e-02
4.00E+01,9.666478e+00,4.783086e-02
5.00E+01,1.054454e+01,1.323353e-01
6.00E+01,1.143271e+01,9.613100e-02
7.00E+01,1.262962e+01,
8.00E+01,1.306849e+01,
9.00E+01,1.387308e+01,
1.00E+02,1.439273e+01,2.541881e-02
2.00E+02,2.206527e+01,
3.00E+02,2.455218e+01,
4.00E+02,2.811188e+01,
5.00E+02,2.928386e+01,9.796083e-02
6.00E+02,3.052565e+01,
7.00E+02,3.162282e+01,
8.00E+02,3.257370e+01,
9.00E+02,3.389030e+01,
1.00E+03,3.492179e+01,1.422550e-01
5.00E+03,5.078705e+01,1.195259e-01
1.00E+04,7.209796e+01,2.364281e-01
2.00E+04,9.507950e+01,3.861400e-01
3.00E+04,9.622219e+01,2.483603e-01
4.00E+04,9.713811e+01,3.196835e-01
5.00E+04,9.799837e+01,3.662975e-01
6.00E+04,9.831132e+01,2.026203e-01
7.00E+04,9.893114e+01,4.911225e-01
8.00E+04,9.915034e+01,6.297002e-02
9.00E+04,9.940426e+01,3.905698e-01
1.00E+05,9.957888e+01,4.206532e-01
