Pressure,uptake,error
1.00E-04,2.657585e-04,8.265237e-05
5.00E-04,1.505558e-03,6.203718e-04
1.00E-03,3.106205e-03,1.126440e-03
5.00E-03,1.682202e-02,5.045464e-03
1.00E-02,3.151798e-02,1.109425e-02
5.00E-02,1.316529e-01,1.122335e-02
1.00E-01,2.312977e-01,1.379507e-02
2.00E-01,3.633357e-01,3.797897e-02
3.00E-01,5.061809e-01,4.255933e-02
4.00E-01,6.130731e-01,3.138253e-02
5.00E-01,7.330485e-01,4.892055e-02
6.00E-01,8.419058e-01,4.067595e-02
7.00E-01,9.664575e-01,2.451411e-02
8.00E-01,1.081343e+00,4.097116e-02
9.00E-01,1.187981e+00,6.446212e-02
1.00E+00,1.213514e+00,1.980478e-02
2.00E+00,2.119464e+00,5.204945e-02
3.00E+00,2.869838e+00,4.665267e-02
4.00E+00,3.519102e+00,4.033218e-02
5.00E+00,4.046426e+00,8.911433e-02
6.00E+00,4.562074e+00,4.855410e-02
7.00E+00,4.995047e+00,4.930338e-02
8.00E+00,5.457599e+00,3.522073e-02
9.00E+00,5.807059e+00,5.447031e-02
1.00E+01,6.209291e+00,8.744672e-02
2.00E+01,8.600638e+00,6.723056e-02
3.00E+01,1.036667e+01,5.811540e-02
4.00E+01,1.184091e+01,6.578224e-02
5.00E+01,1.312185e+01,8.665974e-02
6.00E+01,1.426273e+01,9.957486e-02
7.00E+01,1.545565e+01,1.195923e-01
8.00E+01,1.628874e+01,7.596722e-02
9.00E+01,1.727825e+01,1.934023e-01
1.00E+02,1.812259e+01,1.315397e-01
2.00E+02,2.374813e+01,1.490857e-01
3.00E+02,2.662400e+01,8.328100e-02
4.00E+02,2.844583e+01,1.367176e-01
5.00E+02,2.974585e+01,1.185309e-01
6.00E+02,3.086177e+01,5.060717e-02
7.00E+02,3.169838e+01,1.204063e-01
8.00E+02,3.286199e+01,1.619309e-01
9.00E+02,3.336346e+01,9.103095e-02
1.00E+03,3.397434e+01,1.171773e-01
2.00E+03,3.860131e+01,1.215340e-01
3.00E+03,4.224217e+01,1.082552e-01
4.00E+03,4.490643e+01,3.035907e-01
5.00E+03,4.786970e+01,3.154605e-01
6.00E+03,5.034458e+01,4.450045e-01
7.00E+03,5.937812e+01,1.620674e-01
8.00E+03,6.066648e+01,3.366999e-01
9.00E+03,6.204686e+01,3.996564e-01
1.00E+04,6.327079e+01,3.129860e-01
2.00E+04,7.906924e+01,
3.00E+04,7.906924e+01,
4.00E+04,8.035508e+01,3.589052e-01
5.00E+04,8.093520e+01,2.416887e-01
6.00E+04,8.118192e+01,2.258798e-01
7.00E+04,8.178329e+01,2.439674e-01
8.00E+04,8.177430e+01,3.861788e-01
9.00E+04,8.203467e+01,2.914025e-01
1.00E+05,8.213389e+01,4.343363e-01
