Pressure,uptake,error
1.00E-04,2.072429e-04,4.280654e-05
5.00E-04,1.087415e-03,1.526250e-04
1.00E-03,2.196774e-03,5.496933e-04
5.00E-03,1.111309e-02,1.513387e-03
1.00E-02,2.172393e-02,2.992748e-03
5.00E-02,1.052184e-01,2.049081e-02
1.00E-01,2.120070e-01,3.625046e-02
2.00E-01,3.880147e-01,2.190474e-02
3.00E-01,5.051752e-01,4.923629e-02
4.00E-01,7.216489e-01,4.799708e-02
5.00E-01,8.104439e-01,8.546416e-02
6.00E-01,9.417310e-01,6.200524e-02
7.00E-01,1.040903e+00,6.542711e-02
8.00E-01,1.067545e+00,4.540816e-02
9.00E-01,1.172636e+00,3.033835e-02
1.00E+00,1.254807e+00,8.863105e-02
2.00E+00,1.816796e+00,3.333983e-02
3.00E+00,2.201809e+00,5.237596e-02
4.00E+00,2.544369e+00,1.086821e-01
5.00E+00,2.846273e+00,5.161588e-02
6.00E+00,3.120426e+00,8.217041e-02
7.00E+00,3.368998e+00,5.537991e-02
8.00E+00,3.563936e+00,7.253128e-02
9.00E+00,3.804708e+00,6.390453e-02
1.00E+01,4.045368e+00,4.156224e-02
2.00E+01,5.705191e+00,5.450469e-02
3.00E+01,7.034249e+00,7.408164e-02
4.00E+01,8.136710e+00,7.730904e-02
5.00E+01,9.347860e+00,5.253126e-02
6.00E+01,1.027001e+01,1.111677e-01
7.00E+01,1.136957e+01,1.206839e-01
8.00E+01,1.217959e+01,8.046070e-02
9.00E+01,1.332938e+01,1.971703e-01
1.00E+02,1.415433e+01,2.676035e-01
2.00E+02,2.105363e+01,2.301815e-01
3.00E+02,2.560352e+01,2.621064e-01
4.00E+02,2.865478e+01,3.114230e-01
5.00E+02,3.085006e+01,1.861611e-01
6.00E+02,3.257807e+01,1.590892e-01
7.00E+02,3.383828e+01,2.371821e-01
8.00E+02,3.520690e+01,
9.00E+02,3.652351e+01,
1.00E+03,3.681881e+01,3.570451e-01
5.00E+03,5.493011e+01,2.790486e-01
1.00E+04,7.638156e+01,9.005961e-02
2.00E+04,7.904033e+01,2.813449e-01
3.00E+04,7.948824e+01,2.318545e-01
4.00E+04,8.046777e+01,4.116355e-01
5.00E+04,8.112443e+01,3.747275e-01
6.00E+04,8.118508e+01,2.640644e-01
7.00E+04,8.159534e+01,2.725034e-01
8.00E+04,8.161803e+01,2.808494e-01
9.00E+04,8.195357e+01,4.884058e-01
1.00E+05,8.209227e+01,4.200689e-01
