Pressure,uptake,error
1.00E-04,4.542276e-03,2.020785e-03
5.00E-04,2.245781e-02,7.049473e-03
1.00E-03,3.986377e-02,6.556670e-03
5.00E-03,1.449676e-01,3.025873e-02
1.00E-02,2.345477e-01,4.323706e-02
5.00E-02,5.691962e-01,1.495187e-02
1.00E-01,8.280205e-01,5.572563e-02
2.00E-01,1.190708e+00,8.269525e-02
3.00E-01,1.461723e+00,4.973737e-02
4.00E-01,1.686552e+00,8.025201e-02
5.00E-01,1.882323e+00,8.597423e-02
6.00E-01,2.124376e+00,3.644862e-02
7.00E-01,2.245218e+00,5.646698e-02
8.00E-01,2.435655e+00,9.894441e-02
9.00E-01,2.515053e+00,6.628326e-02
1.00E+00,2.693804e+00,4.715334e-02
2.00E+00,3.656325e+00,5.116671e-02
3.00E+00,4.376893e+00,1.125207e-01
4.00E+00,4.964666e+00,1.086489e-01
5.00E+00,5.519579e+00,4.705059e-02
6.00E+00,5.973007e+00,1.009986e-01
7.00E+00,6.472036e+00,1.010276e-01
8.00E+00,6.923094e+00,1.271577e-01
9.00E+00,7.205776e+00,5.845462e-02
1.00E+01,7.496827e+00,1.223420e-01
2.00E+01,9.638438e+00,7.111150e-02
3.00E+01,1.120140e+01,1.186101e-01
4.00E+01,1.245988e+01,1.263290e-01
5.00E+01,1.361584e+01,8.826490e-02
6.00E+01,1.442365e+01,1.758706e-01
7.00E+01,1.511510e+01,1.225238e-01
8.00E+01,1.581617e+01,1.524024e-01
9.00E+01,1.658814e+01,9.588318e-02
1.00E+02,1.693751e+01,2.511063e-01
2.00E+02,2.101223e+01,1.087697e-01
3.00E+02,2.322253e+01,3.761252e-02
4.00E+02,2.479919e+01,1.462277e-01
5.00E+02,2.607046e+01,1.588179e-01
6.00E+02,2.725924e+01,2.041342e-01
7.00E+02,2.798607e+01,2.132507e-01
8.00E+02,2.883101e+01,1.632108e-01
9.00E+02,2.972767e+01,1.732594e-01
1.00E+03,3.032181e+01,9.881569e-02
2.00E+03,3.577205e+01,2.763577e-01
3.00E+03,4.021993e+01,2.049885e-01
4.00E+03,4.548134e+01,3.332692e-01
5.00E+03,5.396183e+01,4.688028e-01
6.00E+03,5.817717e+01,8.931314e-01
7.00E+03,5.911544e+01,2.052937e-01
8.00E+03,5.959459e+01,2.581466e-01
9.00E+03,6.011589e+01,1.270941e-01
1.00E+04,6.019681e+01,1.455446e-01
2.00E+04,6.161337e+01,3.199855e-01
3.00E+04,6.236982e+01,2.585659e-01
4.00E+04,6.271773e+01,1.499855e-01
5.00E+04,6.301446e+01,5.519336e-01
6.00E+04,6.352803e+01,2.255082e-01
7.00E+04,6.379502e+01,3.964210e-01
8.00E+04,6.388743e+01,9.335145e-02
9.00E+04,6.398356e+01,1.415019e-01
1.00E+05,6.417343e+01,4.232693e-01
