Pressure,uptake,error
1.00E-04,4.648742e-04,1.865075e-04
5.00E-04,3.769382e-03,8.056972e-04
1.00E-03,7.031628e-03,1.718528e-03
5.00E-03,3.203243e-02,6.603187e-03
1.00E-02,5.942100e-02,7.778074e-03
5.00E-02,1.904505e-01,1.239099e-02
1.00E-01,2.858911e-01,3.291694e-02
2.00E-01,4.216587e-01,3.106896e-02
3.00E-01,4.972414e-01,3.527540e-02
4.00E-01,6.010059e-01,2.749188e-02
5.00E-01,6.566299e-01,1.406812e-02
6.00E-01,7.729606e-01,5.984009e-02
7.00E-01,8.106723e-01,4.923208e-02
8.00E-01,8.730288e-01,4.479287e-02
9.00E-01,9.682549e-01,4.441029e-02
1.00E+00,1.015191e+00,8.039376e-02
2.00E+00,1.585980e+00,8.841168e-02
3.00E+00,1.951254e+00,2.596335e-02
4.00E+00,2.437436e+00,8.977580e-02
5.00E+00,2.751442e+00,5.541349e-02
6.00E+00,3.053105e+00,7.544074e-02
7.00E+00,3.411721e+00,7.988319e-02
8.00E+00,3.666381e+00,1.159650e-01
9.00E+00,3.935987e+00,8.906494e-02
1.00E+01,4.106721e+00,1.042845e-01
2.00E+01,5.834613e+00,3.925207e-02
3.00E+01,7.011084e+00,5.621761e-02
4.00E+01,8.002932e+00,7.772698e-02
5.00E+01,8.865154e+00,1.250495e-01
6.00E+01,9.684397e+00,1.420991e-01
7.00E+01,1.041149e+01,7.092485e-02
8.00E+01,1.119435e+01,1.043584e-01
9.00E+01,1.182675e+01,1.095182e-01
1.00E+02,1.249403e+01,7.389110e-02
2.00E+02,1.777754e+01,1.152334e-01
3.00E+02,2.151794e+01,7.675749e-02
4.00E+02,2.414710e+01,1.472555e-01
5.00E+02,2.606222e+01,3.088524e-01
6.00E+02,2.771981e+01,4.370171e-02
7.00E+02,2.890388e+01,1.081736e-01
8.00E+02,2.996319e+01,2.438512e-01
9.00E+02,3.099655e+01,1.037350e-01
1.00E+03,3.215105e+01,8.244825e-02
1.50E+03,3.628161e+01,1.799402e-01
2.00E+03,4.049164e+01,1.467741e-01
2.50E+03,4.528666e+01,3.706446e-01
3.00E+03,5.101057e+01,3.816738e-01
3.50E+03,7.301743e+01,4.716470e-01
4.00E+03,7.473996e+01,3.915549e-01
4.50E+03,7.549675e+01,2.118533e-01
5.00E+03,7.633879e+01,1.494360e-01
5.50E+03,7.657960e+01,1.278569e-01
6.00E+03,7.710116e+01,4.011580e-01
6.50E+03,7.748327e+01,8.601905e-02
7.00E+03,7.776608e+01,2.904076e-01
7.50E+03,7.787815e+01,2.069837e-01
8.00E+03,7.829770e+01,1.317455e-01
8.50E+03,7.837623e+01,1.124989e-01
9.00E+03,7.859279e+01,2.429572e-01
9.50E+03,7.867180e+01,1.539929e-01
1.00E+04,7.910830e+01,3.513781e-01
1.50E+04,8.001072e+01,1.837670e-01
2.00E+04,8.092630e+01,3.555771e-01
2.50E+04,8.142931e+01,4.396255e-01
3.00E+04,8.202332e+01,2.705173e-01
3.50E+04,8.240421e+01,2.832619e-01
4.00E+04,8.241378e+01,2.478121e-01
4.50E+04,8.289261e+01,2.388846e-01
5.00E+04,8.321751e+01,1.753050e-01
5.50E+04,8.319087e+01,2.165193e-01
6.00E+04,8.348626e+01,3.631153e-01
6.50E+04,8.373659e+01,3.417444e-01
7.00E+04,8.398954e+01,2.578254e-01
7.50E+04,8.401201e+01,3.011476e-01
8.00E+04,8.378358e+01,1.802040e-01
8.50E+04,8.382421e+01,1.866568e-01
9.00E+04,8.425599e+01,2.076173e-01
9.50E+04,8.459684e+01,3.764273e-01
1.00E+05,8.448116e+01,1.861045e-01
