Pressure,uptake,error
1.00E-04,1.089041e-04,5.994614e-05
5.00E-04,6.648026e-04,1.211592e-04
1.00E-03,1.392997e-03,2.165858e-04
5.00E-03,5.838559e-03,5.821269e-04
1.00E-02,1.277266e-02,1.411419e-03
5.00E-02,6.369101e-02,3.425440e-03
1.00E-01,1.240743e-01,1.511022e-02
2.00E-01,2.379115e-01,1.774006e-02
3.00E-01,3.490083e-01,4.998829e-02
4.00E-01,4.426041e-01,2.776306e-02
5.00E-01,5.526232e-01,1.367132e-02
6.00E-01,6.183347e-01,2.988126e-02
7.00E-01,7.163776e-01,5.757021e-02
8.00E-01,7.944472e-01,2.773073e-02
9.00E-01,9.096125e-01,4.377488e-02
1.00E+00,9.441513e-01,5.816805e-02
2.00E+00,1.741732e+00,1.856660e-02
3.00E+00,2.437194e+00,9.168500e-02
4.00E+00,3.128522e+00,8.998096e-02
5.00E+00,3.716329e+00,3.082325e-02
6.00E+00,4.268019e+00,4.691069e-02
7.00E+00,4.632336e+00,8.162494e-02
8.00E+00,5.118528e+00,4.244457e-02
9.00E+00,5.553159e+00,5.323332e-02
1.00E+01,5.879000e+00,8.430008e-02
2.00E+01,8.796121e+00,2.984671e-02
3.00E+01,1.066796e+01,1.203522e-01
4.00E+01,1.219306e+01,6.672527e-02
5.00E+01,1.344300e+01,1.099842e-01
6.00E+01,1.447799e+01,1.573369e-01
7.00E+01,1.542951e+01,8.277952e-02
8.00E+01,1.628397e+01,1.396374e-01
9.00E+01,1.725955e+01,1.509561e-01
1.00E+02,1.802035e+01,1.452496e-01
2.00E+02,2.538928e+01,
3.00E+02,2.805499e+01,
4.00E+02,3.078572e+01,
5.00E+02,3.238570e+01,1.962243e-01
6.00E+02,3.432917e+01,
7.00E+02,3.462175e+01,
8.00E+02,3.527192e+01,
9.00E+02,3.569453e+01,
1.00E+03,3.750811e+01,1.029425e-01
5.00E+03,5.936130e+01,1.740357e-01
1.00E+04,6.513740e+01,4.068408e-01
2.00E+04,7.498616e+01,4.795183e-01
3.00E+04,9.061967e+01,2.913961e-01
4.00E+04,9.149676e+01,2.470577e-01
5.00E+04,9.161969e+01,1.474386e-01
6.00E+04,9.242010e+01,8.530246e-02
7.00E+04,9.254428e+01,3.010269e-01
8.00E+04,9.296168e+01,2.019323e-01
9.00E+04,9.314701e+01,4.560700e-01
1.00E+05,9.351078e+01,2.893034e-01
