Pressure,uptake,error
1.00E-04,1.809108e-03,2.759094e-04
5.00E-04,8.826107e-03,1.582250e-03
1.00E-03,1.781313e-02,2.509303e-03
5.00E-03,8.263870e-02,7.351954e-03
1.00E-02,1.474821e-01,2.052827e-02
5.00E-02,5.166280e-01,2.380199e-02
1.00E-01,7.581610e-01,2.267617e-02
2.00E-01,1.140380e+00,9.253235e-02
3.00E-01,1.497275e+00,2.855924e-02
4.00E-01,1.735969e+00,6.244743e-02
5.00E-01,1.915868e+00,6.249328e-02
6.00E-01,2.124699e+00,4.863581e-02
7.00E-01,2.296392e+00,4.364854e-02
8.00E-01,2.484640e+00,3.315292e-02
9.00E-01,2.612816e+00,4.520308e-02
1.00E+00,2.706223e+00,7.657652e-02
2.00E+00,3.815894e+00,8.350045e-02
3.00E+00,4.654987e+00,5.990396e-02
4.00E+00,5.287224e+00,9.677542e-02
5.00E+00,5.934701e+00,8.813256e-02
6.00E+00,6.418695e+00,8.841918e-02
7.00E+00,6.919392e+00,4.592975e-02
8.00E+00,7.341616e+00,1.045133e-01
9.00E+00,7.777049e+00,4.853864e-02
1.00E+01,8.130155e+00,1.137210e-01
2.00E+01,1.080744e+01,1.258807e-01
3.00E+01,1.268789e+01,8.490079e-02
4.00E+01,1.434750e+01,7.426235e-02
5.00E+01,1.569301e+01,1.612112e-01
6.00E+01,1.687397e+01,1.157644e-01
7.00E+01,1.783512e+01,1.708694e-01
8.00E+01,1.870093e+01,1.848737e-01
9.00E+01,1.944380e+01,2.177146e-01
1.00E+02,2.014609e+01,1.039871e-01
2.00E+02,2.415503e+01,9.724064e-02
3.00E+02,2.638748e+01,4.550188e-02
4.00E+02,2.786308e+01,1.820828e-01
5.00E+02,2.905417e+01,2.288393e-01
6.00E+02,2.987844e+01,1.938510e-01
7.00E+02,3.088355e+01,9.151740e-02
8.00E+02,3.129892e+01,1.060488e-01
9.00E+02,3.206091e+01,1.166052e-01
1.00E+03,3.268324e+01,2.289165e-01
2.00E+03,3.821190e+01,8.210096e-01
3.00E+03,4.361013e+01,2.963933e-01
4.00E+03,4.535475e+01,9.632828e-02
5.00E+03,4.633254e+01,1.434507e-01
6.00E+03,4.755198e+01,1.898512e-01
7.00E+03,4.844514e+01,3.284551e-01
8.00E+03,4.921883e+01,1.077822e-01
9.00E+03,5.019491e+01,2.683795e-01
1.00E+04,5.082919e+01,1.042565e-01
2.00E+04,6.418524e+01,2.705043e-01
3.00E+04,6.503266e+01,1.518434e-01
4.00E+04,6.557311e+01,1.398107e-01
5.00E+04,6.590102e+01,3.250377e-01
6.00E+04,6.627782e+01,1.922599e-01
7.00E+04,6.650846e+01,7.377921e-02
8.00E+04,6.668798e+01,2.570004e-01
9.00E+04,6.665238e+01,3.967791e-01
1.00E+05,6.702782e+01,2.302295e-01
