Pressure,uptake,error
1.00E-04,2.438151e-04,1.887591e-04
5.00E-04,1.202821e-03,3.601294e-04
1.00E-03,1.833490e-03,4.731150e-04
5.00E-03,9.638825e-03,2.289961e-03
1.00E-02,2.419296e-02,4.222170e-03
5.00E-02,9.114459e-02,7.295506e-03
1.00E-01,1.982379e-01,2.564396e-02
2.00E-01,2.918142e-01,3.052513e-02
3.00E-01,3.986540e-01,1.011652e-02
4.00E-01,5.303369e-01,3.096061e-02
5.00E-01,6.031921e-01,4.645729e-02
6.00E-01,6.745422e-01,3.230955e-02
7.00E-01,7.717756e-01,6.385695e-02
8.00E-01,8.594321e-01,4.830604e-02
9.00E-01,8.569451e-01,4.723616e-02
1.00E+00,9.348229e-01,5.776690e-02
2.00E+00,1.414359e+00,1.068925e-01
3.00E+00,1.747826e+00,3.622557e-02
4.00E+00,2.129302e+00,1.045640e-01
5.00E+00,2.454428e+00,1.577212e-02
6.00E+00,2.729049e+00,9.010404e-02
7.00E+00,2.957273e+00,5.131724e-02
8.00E+00,3.178719e+00,1.118258e-01
9.00E+00,3.399986e+00,8.286226e-02
1.00E+01,3.659421e+00,1.085256e-01
2.00E+01,5.201877e+00,5.836341e-02
3.00E+01,6.383824e+00,1.526572e-01
4.00E+01,7.338621e+00,1.165099e-01
5.00E+01,8.198553e+00,1.149583e-01
6.00E+01,8.846377e+00,8.145535e-02
7.00E+01,9.520080e+00,6.681800e-02
8.00E+01,1.009920e+01,1.224610e-01
9.00E+01,1.066307e+01,7.211297e-02
1.00E+02,1.121983e+01,1.961935e-01
2.00E+02,1.507363e+01,1.416407e-01
3.00E+02,1.835566e+01,2.754082e-01
4.00E+02,2.153914e+01,1.623522e-01
5.00E+02,2.531098e+01,4.075426e-01
6.00E+02,3.388660e+01,1.979147e+00
7.00E+02,4.460349e+01,5.336128e-01
8.00E+02,4.715133e+01,2.862267e-01
9.00E+02,4.815499e+01,3.027063e-01
1.00E+03,4.862429e+01,3.326224e-01
1.50E+03,5.150461e+01,2.076990e-01
2.00E+03,5.333328e+01,4.049120e-01
2.50E+03,5.489935e+01,3.684398e-01
3.00E+03,5.598483e+01,1.850633e-01
3.50E+03,5.740845e+01,3.224997e-01
4.00E+03,6.550221e+01,2.364312e-01
4.50E+03,6.592007e+01,1.477359e-01
5.00E+03,6.654883e+01,3.166957e-01
5.50E+03,6.670247e+01,8.238430e-02
6.00E+03,6.687804e+01,1.857264e-01
6.50E+03,6.725826e+01,3.356734e-01
7.00E+03,6.767315e+01,3.973443e-01
7.50E+03,6.779884e+01,9.264189e-02
8.00E+03,6.802565e+01,1.790592e-01
8.50E+03,6.784011e+01,4.619320e-01
9.00E+03,6.851232e+01,2.778538e-01
9.50E+03,6.844133e+01,1.786636e-01
1.00E+04,6.805467e+01,2.376538e-01
1.50E+04,6.981042e+01,1.635513e-01
2.00E+04,7.007829e+01,3.192565e-01
2.50E+04,7.031283e+01,1.471994e-01
3.00E+04,7.093538e+01,3.396216e-01
3.50E+04,7.117425e+01,2.885770e-01
4.00E+04,7.123794e+01,3.169183e-01
4.50E+04,7.133247e+01,3.586922e-01
5.00E+04,7.157751e+01,3.744148e-01
5.50E+04,7.171950e+01,4.663152e-01
6.00E+04,7.214008e+01,2.782464e-01
6.50E+04,7.166595e+01,5.604498e-01
7.00E+04,7.215589e+01,2.065725e-01
7.50E+04,7.236733e+01,4.009142e-01
8.00E+04,7.217805e+01,3.230714e-01
8.50E+04,7.213808e+01,3.325941e-01
9.00E+04,7.234069e+01,6.006871e-01
9.50E+04,7.246586e+01,3.007237e-01
1.00E+05,7.265412e+01,1.654718e-01
