Pressure,uptake,error
1.00E-04,6.772642e-03,4.058711e-03
5.00E-04,2.503602e-02,3.607916e-03
1.00E-03,4.830357e-02,1.232567e-02
5.00E-03,1.159715e-01,1.225329e-02
1.00E-02,1.694114e-01,1.742974e-02
5.00E-02,4.843382e-01,5.108004e-02
1.00E-01,7.298936e-01,6.163773e-02
2.00E-01,1.075285e+00,1.199737e-02
3.00E-01,1.232088e+00,8.892870e-02
4.00E-01,1.504240e+00,3.098592e-02
5.00E-01,1.651721e+00,5.467150e-02
6.00E-01,1.850576e+00,6.671714e-02
7.00E-01,1.954897e+00,7.909842e-02
8.00E-01,2.092837e+00,9.817195e-02
9.00E-01,2.138337e+00,1.191255e-01
1.00E+00,2.342279e+00,2.725500e-02
2.00E+00,3.136884e+00,6.011766e-02
3.00E+00,3.757356e+00,1.225037e-01
4.00E+00,4.317476e+00,1.305150e-01
5.00E+00,4.836898e+00,7.062023e-02
6.00E+00,5.202731e+00,6.724414e-02
7.00E+00,5.626481e+00,4.026611e-02
8.00E+00,6.057163e+00,1.658843e-01
9.00E+00,6.365980e+00,7.894863e-02
1.00E+01,6.645921e+00,1.098535e-01
2.00E+01,9.056106e+00,1.790152e-01
3.00E+01,1.053802e+01,1.178521e-01
4.00E+01,1.173694e+01,3.985955e-02
5.00E+01,1.281351e+01,7.222866e-02
6.00E+01,1.362078e+01,8.797905e-02
7.00E+01,1.442883e+01,1.440021e-01
8.00E+01,1.497707e+01,1.409495e-01
9.00E+01,1.552182e+01,1.348450e-01
1.00E+02,1.611771e+01,1.333096e-01
2.00E+02,1.961479e+01,7.689630e-02
3.00E+02,2.198825e+01,7.582948e-02
4.00E+02,2.398100e+01,1.977510e-01
5.00E+02,2.566593e+01,1.178626e-01
6.00E+02,2.736617e+01,1.270623e-01
7.00E+02,2.850284e+01,2.024734e-01
8.00E+02,2.968979e+01,1.595737e-01
9.00E+02,3.122374e+01,3.346712e-01
1.00E+03,3.247608e+01,2.218114e-01
5.00E+03,6.740052e+01,1.726108e-01
1.00E+04,6.989428e+01,2.188292e-01
2.00E+04,7.166161e+01,2.636432e-01
3.00E+04,7.235173e+01,3.828853e-01
4.00E+04,7.288910e+01,2.252199e-01
5.00E+04,7.302530e+01,1.644063e-01
6.00E+04,7.375868e+01,1.225543e-01
7.00E+04,7.358441e+01,2.072970e-01
8.00E+04,7.370324e+01,3.575816e-01
9.00E+04,7.376116e+01,1.884312e-01
1.00E+05,7.376754e+01,3.244150e-01
