Pressure,uptake,error
1.00E-04,5.129003e-02,1.153576e-02
5.00E-04,1.170118e-01,1.680289e-02
1.00E-03,1.412025e-01,1.451912e-02
5.00E-03,3.562280e-01,2.444802e-02
1.00E-02,4.826022e-01,3.351697e-02
5.00E-02,1.005199e+00,3.410466e-02
1.00E-01,1.342236e+00,1.948801e-02
2.00E-01,1.924523e+00,6.799080e-02
3.00E-01,2.282066e+00,4.316877e-02
4.00E-01,2.572289e+00,7.084166e-02
5.00E-01,2.888769e+00,9.497517e-02
6.00E-01,3.077838e+00,9.010623e-02
7.00E-01,3.304950e+00,4.094687e-02
8.00E-01,3.500665e+00,6.604626e-02
9.00E-01,3.620655e+00,7.319658e-02
1.00E+00,3.733629e+00,7.762148e-02
2.00E+00,4.826321e+00,7.047121e-02
3.00E+00,5.549343e+00,7.662431e-02
4.00E+00,6.138803e+00,6.807042e-02
5.00E+00,6.618302e+00,1.012255e-01
6.00E+00,7.114070e+00,5.764783e-02
7.00E+00,7.504294e+00,3.415714e-02
8.00E+00,7.724588e+00,1.121202e-01
9.00E+00,8.140599e+00,1.463688e-01
1.00E+01,8.341982e+00,9.069238e-02
2.00E+01,1.052209e+01,1.412899e-01
3.00E+01,1.202372e+01,1.031430e-01
4.00E+01,1.301562e+01,9.232535e-02
5.00E+01,1.402066e+01,1.367725e-01
6.00E+01,1.490275e+01,2.775778e-02
7.00E+01,1.544014e+01,1.040631e-01
8.00E+01,1.627519e+01,1.566286e-01
9.00E+01,1.667886e+01,1.542532e-01
1.00E+02,1.729849e+01,1.151428e-01
2.00E+02,2.141679e+01,2.295355e-01
3.00E+02,2.453842e+01,2.750813e-01
4.00E+02,2.749270e+01,2.261599e-01
5.00E+02,3.011349e+01,1.958208e-01
6.00E+02,3.294641e+01,1.160018e-01
7.00E+02,3.572375e+01,2.628157e-01
8.00E+02,3.782746e+01,7.080316e-01
9.00E+02,3.946538e+01,2.031878e-01
1.00E+03,4.060510e+01,1.602229e-01
1.50E+03,4.305863e+01,3.367823e-01
2.00E+03,4.397907e+01,2.343380e-01
2.50E+03,4.463787e+01,1.208218e-01
3.00E+03,4.497397e+01,1.745239e-01
3.50E+03,4.548235e+01,1.517659e-01
4.00E+03,4.560944e+01,1.292560e-01
4.50E+03,4.574355e+01,1.901683e-01
5.00E+03,4.591167e+01,4.054541e-01
5.50E+03,4.607078e+01,1.170266e-01
6.00E+03,4.612216e+01,2.403635e-01
6.50E+03,4.656983e+01,2.824041e-01
7.00E+03,4.643053e+01,2.629099e-01
7.50E+03,4.649944e+01,1.247417e-01
8.00E+03,4.665887e+01,1.904754e-01
8.50E+03,4.654413e+01,2.599078e-01
9.00E+03,4.687396e+01,3.495617e-01
9.50E+03,4.698684e+01,2.333007e-01
1.00E+04,4.688365e+01,1.136462e-01
1.50E+04,4.741127e+01,4.000555e-01
2.00E+04,4.757530e+01,8.480897e-02
2.50E+04,4.796919e+01,2.871481e-01
3.00E+04,4.816646e+01,1.664657e-01
3.50E+04,4.839982e+01,1.176984e-01
4.00E+04,4.846519e+01,1.945571e-01
4.50E+04,4.855683e+01,2.317701e-01
5.00E+04,4.853348e+01,5.011132e-02
5.50E+04,4.847757e+01,9.290347e-02
6.00E+04,4.872285e+01,1.901994e-01
6.50E+04,4.884910e+01,1.687174e-01
7.00E+04,4.862762e+01,2.314240e-01
7.50E+04,4.879947e+01,1.215292e-01
8.00E+04,4.912572e+01,2.696563e-01
8.50E+04,4.922755e+01,2.045492e-01
9.00E+04,4.909739e+01,3.492919e-01
9.50E+04,4.921967e+01,1.295307e-01
1.00E+05,4.924546e+01,4.075341e-01
