6374,6,,,,,,,,,
LCD,PLD,AGSA,Density,VF,dH,LNG-ANG_WC,ANG_WC,5bar,6bar,65bar
11.39486,4.3226,1505.31,0.949126,0.6636,-21.37934673,205.7457464,119.5854443,67.12807488,272.8738213,186.7135192
11.27344,4.5108,1494.4,0.979267,0.6638,-21.30933102,200.9178774,118.0880944,72.31561979,273.2334972,190.4037142
11.25251,6.80253,1105.15,1.15199,0.6464,-17.67136468,183.2283222,105.6753062,97.93170935,281.1600315,203.6070155
9.47418,7.83744,3810.89,0.597233,0.7302,-13.60143615,268.8973074,171.1855038,76.60970477,345.5070122,247.7952086
4.80529,4.06893,534.065,1.7876,0.4776,-19.56112593,90.84473433,46.73105403,53.87607767,144.720812,100.6071317
4.33176,3.82431,418.836,1.34661,0.4458,-23.74321511,35.39248897,22.78948883,56.05351683,91.4460058,78.84300566
4.86958,4.16445,898.121,1.31921,0.5364,-23.96888818,32.6927525,25.5033724,141.1871953,173.8799478,166.6905677
5.07969,4.03039,1506.68,1.15833,0.621,-20.06643692,150.5701018,82.1217325,111.9723109,262.5424127,194.0940434
8.50423,8.27985,1089.26,1.12072,0.5906,-15.71523461,133.0192107,88.29623697,52.24913543,185.2683461,140.5453724
6.1865,5.74044,753.879,1.30148,0.4824,-20.39134145,76.83403653,33.46896033,69.34299177,146.1770283,102.8119521
6.86398,6.10482,920.046,1.21871,0.513,-19.70368846,108.290077,42.95084074,78.17414556,186.4642226,121.1249863
5.47565,4.2045,961.352,1.31331,0.5292,-18.27544905,87.07132357,50.81907507,50.01036713,137.0816907,100.8294422
5.10081,3.73403,525.866,1.73515,0.4594,-20.44612575,41.46311655,23.69004964,62.94852995,104.4116465,86.63857959
8.25776,7.03071,1873.86,1.10094,0.6554,-16.18003742,175.7773462,108.113284,90.30154962,266.0788958,198.4148336
6.0825,3.7902,1166.06,1.13147,0.5334,-22.56856961,88.4289972,33.7764969,106.3757425,194.8047397,140.1522394
6.23041,4.82239,1400.05,1.21414,0.5654,-19.0950057,128.7013841,55.2989578,101.6338693,230.3352534,156.9328271
5.20085,3.89327,1240.99,1.15458,0.5566,-23.14508637,66.7493546,39.4351063,110.0142846,176.7636392,149.4493909
5.20115,3.94888,1138.35,1.25952,0.5544,-23.16165982,76.1497619,40.4966252,111.5456935,187.6954554,152.0423187
8.42183,5.53552,2579.3,0.863411,0.6794,-15.97411591,221.8331672,119.3655588,87.00714569,308.8403129,206.3727045
7.43814,4.98761,1467.96,1.08434,0.577,-19.73467019,111.6931964,66.05438372,95.73988768,207.4330841,161.7942714
6.16218,5.1323,1273.96,1.47047,0.572,-17.36345186,134.5194831,80.77475522,89.73626498,224.2557481,170.5110202
5.00451,3.93435,846.274,1.28464,0.4874,-21.77481859,111.7535213,50.49190779,75.00795028,186.7614716,125.4998581
13.11818,7.33973,2478.78,0.772596,0.6956,-46.90652587,271.9871064,152.687448,86.36939563,358.356502,239.0568436
10.39878,5.64581,1658.39,0.897688,0.6776,-15.40421779,210.3161917,141.659711,85.40422053,295.7204122,227.0639315
9.19439,3.959,2527.25,0.906382,0.6912,-14.72770101,224.7742423,137.530216,75.48280553,300.2570478,213.0130215
11.38761,10.4443,1019.37,1.02785,0.593,-33.17630821,165.1083027,78.3234918,72.44678573,237.5550884,150.7702775
7.28268,5.80535,673.218,1.16215,0.4952,-19.50085152,68.5504043,35.41709294,56.8819934,125.4323977,92.29908634
7.2744,7.0365,1139.36,1.17665,0.582,-26.70543811,84.5759549,49.394479,119.3519717,203.9279266,168.7464507
5.96211,4.62167,1066.62,1.10398,0.5062,-20.87655598,78.33087452,47.96445067,85.03360382,163.3644783,132.9980545
6.64699,4.59021,1099.29,1.10689,0.5272,-23.67709612,68.2120957,35.6116095,104.9681104,173.1802061,140.5797199
11.28381,4.52903,2743.3,0.822811,0.6948,-21.28461301,248.8164166,143.0717605,79.3349364,328.151353,222.4066969
6.29847,5.43889,780.315,1.11326,0.5092,-17.93553344,86.71662129,54.05507701,43.47923711,130.1958584,97.53431412
15.68052,8.0633,4935.34,0.473321,0.7938,-12.50944732,363.3649174,181.5805323,45.92725761,409.292175,227.5077899
11.40609,8.52606,684.446,2.31198,0.647,-9.720744538,237.9557242,92.79553332,11.98445248,249.9401767,104.7799858
6.36153,3.76503,2076.59,0.960789,0.6214,-19.33807728,144.8099047,81.6989623,134.5360023,279.345907,216.2349646
6.24791,4.32537,1441.52,1.12188,0.5614,-21.9108914,115.0686543,49.6754284,126.3671409,241.4357952,176.0425693
6.09101,5.53211,1105.59,1.35156,0.6002,-16.82168119,156.761217,75.55037781,56.88934849,213.6505655,132.4397263
12.13124,5.0609,2402.71,0.908718,0.6878,-17.66137569,249.3181776,146.1402943,81.17062633,330.4888039,227.3109206
8.49751,4.07254,1330.45,1.27238,0.6072,-18.89930217,246.2575081,121.6217454,68.56322607,314.8207342,190.1849715
14.70209,8.11021,3422.27,0.628556,0.8094,-9.613146877,380.7920496,177.1897999,22.58297834,403.3750279,199.7727782
6.48174,4.30295,536.484,2.30944,0.5252,-17.7903511,80.23196565,43.21633965,60.96838065,141.2003463,104.1847203
15.55627,9.00897,3941.72,0.559431,0.787,-13.10847064,336.8311073,188.7544422,48.91353813,385.7446454,237.6679803
11.50806,7.82539,3375.59,0.694288,0.739,-13.81040289,305.9826598,165.4132818,58.67004458,364.6527044,224.0833264
5.192,4.5372,477.29,1.71994,0.4076,-23.23418321,56.46709333,18.97554203,70.96537867,127.432472,89.9409207
12.29205,5.40077,2485.27,0.881935,0.6948,-17.34981805,244.5508116,129.5345892,79.78808702,324.3388986,209.3226762
22.82402,13.49014,4829.51,0.343942,0.8736,-8.92480931,351.7895643,147.8329017,17.1943244,368.9838887,165.0272261
21.62414,10.92309,4179.02,0.435607,0.8462,-12.94297558,361.7163739,158.8643542,28.10163717,389.8180111,186.9659914
